model,transformation,D_F1,D_SO,D_IoU,D_stability,D_faith,D_prob_fake
xception,brightening_sev1,0.04347826086956519,0.010469117631054736,0.009035841280183254,0.02860849620677941,0.01616375928637994,0.041787847653817156
xception,brightening_sev2,0.04347826086956519,0.033450521434032376,0.02723064953003501,0.07986090580630212,0.029192625185476967,0.08749469844700652
xception,brightening_sev3,0.19999999999999996,0.08909048587575014,0.06730796694373112,0.2190356724262309,0.05170049490244092,0.2347306722873438
xception,darkening_sev1,0.040000000000000036,-0.0020467667385239974,-0.0010881779859995833,0.006556112113549006,7.519830714043229e-06,-0.007130446775498456
xception,darkening_sev2,0.07692307692307676,-0.009004671102403383,-0.0062333290633369565,0.023782864828825745,-0.0016558138980962969,-0.023847384521484827
xception,darkening_sev3,0.1428571428571429,-0.020715118557558365,-0.015810927957754378,0.05232887998520708,-0.003184055471193709,-0.05051087399442744
xception,jpeg_sev1,0.1428571428571429,0.029078934294228975,0.022577704762011597,0.13760962298963575,-0.005793790668556172,0.16126064293863285
xception,jpeg_sev2,0.5,0.12020538767629743,0.08769150116029126,0.46370392814651307,0.02853429663471308,0.509221814891853
xception,jpeg_sev3,1.0,0.20707372748715003,0.14683500054281626,0.8481108725372671,-0.0023381378559865903,0.9072916019777071
xception,resize_sev1,0.040000000000000036,-0.01814906741564626,-0.013951565916172748,0.04565527878645359,0.005657605704717503,-0.03871856854406264
xception,resize_sev2,0.11111111111111116,-0.007974235122345574,-0.005169334968900818,0.05100921627964061,0.004106172614618888,-0.030503514014242228
xception,resize_sev3,0.12,0.024128705114461524,0.01909200344336054,0.15817896141716858,0.07248448916389316,0.09656351963307797
efficientnet_b0,brightening_sev1,0.0,0.026487091045838462,0.016035746252814537,0.14870911070468462,-0.030370235965263004,0.06446954731371501
efficientnet_b0,brightening_sev2,0.047101449275362306,0.06143498085502894,0.03719053283884823,0.2736407474365645,-0.05524448417337652,0.12656534460039448
efficientnet_b0,brightening_sev3,0.21666666666666667,0.07140245195826621,0.043749923720624355,0.37888856731146026,0.0009287999037116412,0.2113439152796679
efficientnet_b0,darkening_sev1,-0.043333333333333335,-0.027232808205575637,-0.017333196971899084,0.07729568709272883,0.016924132491355492,-0.013063745324072285
efficientnet_b0,darkening_sev2,0.02777777777777779,-0.03956029111971607,-0.024850322130229696,0.1851698918785788,0.009578529763776045,-0.0039736330248408835
efficientnet_b0,darkening_sev3,0.13095238095238093,-0.023809874014653953,-0.014932258299119261,0.3588968891436799,-0.025860060434539422,0.0909744112244526
efficientnet_b0,jpeg_sev1,0.13405797101449268,0.03444638069869241,0.02235731270285865,0.2780245801229314,0.033259032671020455,0.18738917856166704
efficientnet_b0,jpeg_sev2,0.39035087719298245,0.08309469043926525,0.051630630505121435,0.5395406935638802,0.12823567953647824,0.4329997771125583
efficientnet_b0,jpeg_sev3,0.4722222222222222,0.10144123441583058,0.06305570748929627,0.6726781238796878,0.1346427049516941,0.5517789515765495
efficientnet_b0,resize_sev1,0.02777777777777779,-0.01731751837927245,-0.011031776845997363,0.10503989567285998,0.073749611007115,-0.041831275400494694
efficientnet_b0,resize_sev2,0.02777777777777779,-0.014013884441127056,-0.007516938485410782,0.158679254795138,0.09165257647823291,-0.01840520159681902
efficientnet_b0,resize_sev3,0.17592592592592593,-0.015307510137581526,-0.009841803056929319,0.3256410570561318,0.14381336606547634,0.11039802796409703
resnet50,brightening_sev1,0.0,0.004842707353365783,0.003966456005947888,0.026473183229828057,0.01718854321574415,-0.013679978927345515
resnet50,brightening_sev2,0.043333333333333335,0.025981597691610042,0.016399445946419455,0.10005951634158816,0.05276889745003597,0.05760949391678438
resnet50,brightening_sev3,0.14181818181818173,0.07151225553599175,0.04526309520828346,0.2182385469706064,0.06470030293288524,0.19563854409784764
resnet50,darkening_sev1,0.09043478260869564,0.011798298307989286,0.007541622675067083,0.06709470549658825,0.006745801775621077,0.08672826262294708
resnet50,darkening_sev2,0.14181818181818173,0.050024694587067375,0.031911871135370945,0.20279012075289815,0.021130213891213827,0.23996396690809807
resnet50,darkening_sev3,0.32842105263157895,0.09137236769693194,0.05899716952306125,0.3996836180757434,0.03283236353361224,0.4188816276452441
resnet50,jpeg_sev1,0.043333333333333335,0.01641151387874462,0.011445282362592096,0.07806280440260782,0.04459627908268761,0.10744181560098343
resnet50,jpeg_sev2,0.5155555555555555,0.09933747603800622,0.06514486602850082,0.4263803796622001,0.14731497580814024,0.46922388179050895
resnet50,jpeg_sev3,0.96,0.1957597942195547,0.12257621916023892,0.8336388001346062,0.12399904816654525,0.8212952573260712
resnet50,resize_sev1,0.13241379310344825,-0.010132735137099724,-0.007800229030528738,0.02877385270405597,0.00476007319517547,-0.04871410684511712
resnet50,resize_sev2,0.13241379310344825,-0.011870136669381914,-0.009403261624335385,0.03634324252940502,0.007989899585108338,-0.05213535800984592
resnet50,resize_sev3,0.1451851851851852,0.0022050440005189076,0.00046123375298662284,0.1068836403759521,0.05546731248204925,0.05672245411041765
