model,predictor,response,n,rho,p_raw,fdr_family,p_bh
efficientnet_b0,D_F1,D_SO,12,0.7183276715080786,0.008500356838181454,detector_performance,0.020400856411635488
efficientnet_b0,D_F1,D_IoU,12,0.7183276715080786,0.008500356838181454,detector_performance,0.020400856411635488
efficientnet_b0,D_F1,D_stability,12,0.9577702286774383,9.852106611128768e-07,detector_performance,1.1822527933354522e-05
efficientnet_b0,D_F1,D_faith,12,0.4507154017305592,0.14142538770291083,detector_performance,0.1542822411304482
efficientnet_b0,D_prob_fake,D_SO,12,0.8111888111888113,0.0013633152527271926,confidence_shift,0.002044972879090789
efficientnet_b0,D_prob_fake,D_IoU,12,0.8111888111888113,0.0013633152527271926,confidence_shift,0.002044972879090789
efficientnet_b0,D_prob_fake,D_stability,12,0.8881118881118882,0.00011413359814618021,confidence_shift,0.00022826719629236042
efficientnet_b0,D_prob_fake,D_faith,12,0.15384615384615385,0.6330906812462617,confidence_shift,0.6330906812462617
resnet50,D_F1,D_SO,12,0.6010628358621289,0.03872580625368116,detector_performance,0.051634408338241546
resnet50,D_F1,D_IoU,12,0.6010628358621289,0.03872580625368116,detector_performance,0.051634408338241546
resnet50,D_F1,D_stability,12,0.8471119499577373,0.0005059642124922083,detector_performance,0.0020238568499688333
resnet50,D_F1,D_faith,12,0.5764579244525682,0.04976731659729238,detector_performance,0.05972077991675086
resnet50,D_prob_fake,D_SO,12,0.965034965034965,3.880985299627466e-07,confidence_shift,1.1642955898882398e-06
resnet50,D_prob_fake,D_IoU,12,0.965034965034965,3.880985299627466e-07,confidence_shift,1.1642955898882398e-06
resnet50,D_prob_fake,D_stability,12,0.9020979020979022,5.9978574465376914e-05,confidence_shift,0.0001439485787169046
resnet50,D_prob_fake,D_faith,12,0.6713286713286714,0.016831456186893416,confidence_shift,0.0201977474242721
xception,D_F1,D_SO,12,0.6010628358621289,0.03872580625368116,detector_performance,0.051634408338241546
xception,D_F1,D_IoU,12,0.6010628358621289,0.03872580625368116,detector_performance,0.051634408338241546
xception,D_F1,D_stability,12,0.8611718993346292,0.0003201914230579383,detector_performance,0.0019211485383476296
xception,D_F1,D_faith,12,-0.10896460767091228,0.7360449789233119,detector_performance,0.7360449789233119
xception,D_prob_fake,D_SO,12,0.9720279720279721,1.2868115751495027e-07,confidence_shift,7.720869450897016e-07
xception,D_prob_fake,D_IoU,12,0.9720279720279721,1.2868115751495027e-07,confidence_shift,7.720869450897016e-07
xception,D_prob_fake,D_stability,12,0.7762237762237763,0.002992863680185982,confidence_shift,0.003990484906914642
xception,D_prob_fake,D_faith,12,0.2517482517482518,0.4299187850328841,confidence_shift,0.46900231094496453
