model,transformation,metric,n,mean,median,ci95_lower,ci95_upper,below_0_8_prop,below_0_9_prop
xception,brightening_sev1,ES_cos,12,0.9713915037932206,0.9894968113470325,0.9389991277844254,0.9925138808333065,0.0,0.08333333333333333
xception,brightening_sev1,explanation_IoU,12,0.8714925695765006,0.8976251085602549,0.8021727526407868,0.9212541701937749,0.08333333333333333,0.5
xception,brightening_sev2,ES_cos,12,0.9201390941936979,0.9634499465710354,0.8642510595244166,0.9691375839953397,0.16666666666666666,0.25
xception,brightening_sev2,explanation_IoU,12,0.7747095271807196,0.8306014921031206,0.6945961551845394,0.8457050488946167,0.4166666666666667,0.8333333333333334
xception,brightening_sev3,ES_cos,12,0.7809643275737691,0.8775718492015213,0.6333989413964648,0.9028685105800799,0.3333333333333333,0.5833333333333334
xception,brightening_sev3,explanation_IoU,12,0.5956659700027972,0.648861372418751,0.4602814660579414,0.716302380403338,0.8333333333333334,1.0
xception,darkening_sev1,ES_cos,12,0.993443887886451,0.9957221415809874,0.9895007186588912,0.996850916839982,0.0,0.0
xception,darkening_sev1,explanation_IoU,12,0.933810985554364,0.9486046526954959,0.9046898049915475,0.958655377215709,0.0,0.16666666666666666
xception,darkening_sev2,ES_cos,12,0.9762171351711743,0.988525096594793,0.954406875852402,0.9909324747540234,0.0,0.08333333333333333
xception,darkening_sev2,explanation_IoU,12,0.8809649867600484,0.9048058515181653,0.8199350296868614,0.9291910969146348,0.16666666666666666,0.4166666666666667
xception,darkening_sev3,ES_cos,12,0.9476711200147929,0.9837850639848524,0.8919752096220053,0.983324952728131,0.08333333333333333,0.08333333333333333
xception,darkening_sev3,explanation_IoU,12,0.8302765934224065,0.8832601567981373,0.7385159040535615,0.8992779435305012,0.16666666666666666,0.5833333333333334
xception,jpeg_sev1,ES_cos,12,0.8623903770103643,0.9798280926572301,0.7547403204700344,0.9561268744106532,0.3333333333333333,0.4166666666666667
xception,jpeg_sev1,explanation_IoU,12,0.7508313571522051,0.8992366294438092,0.6075566599563113,0.8790768515934231,0.4166666666666667,0.5
xception,jpeg_sev2,ES_cos,12,0.5362960718534869,0.46848608288455523,0.353073843794042,0.7240831637618173,0.6666666666666666,0.75
xception,jpeg_sev2,explanation_IoU,12,0.4002787768444043,0.30350108723836006,0.2228004497033659,0.5898674612630675,0.75,0.9166666666666666
xception,jpeg_sev3,ES_cos,12,0.1518891274627329,0.0860834872731806,0.07351709117014926,0.2459651018408244,1.0,1.0
xception,jpeg_sev3,explanation_IoU,12,0.04957842094376628,0.0195469579302325,0.015969984594184517,0.09587715452384789,1.0,1.0
xception,resize_sev1,ES_cos,12,0.9543447212135464,0.9973845377923057,0.8908046250592967,0.9931225955218338,0.08333333333333333,0.08333333333333333
xception,resize_sev1,explanation_IoU,12,0.8708848888619821,0.9621133536844975,0.7653299623921876,0.9515884719055125,0.16666666666666666,0.4166666666666667
xception,resize_sev2,ES_cos,12,0.9489907837203594,0.9943578625811672,0.8993286227944776,0.9870389131096476,0.08333333333333333,0.16666666666666666
xception,resize_sev2,explanation_IoU,12,0.83953155473376,0.9370568137305125,0.7419798281456937,0.9235575620439913,0.3333333333333333,0.4166666666666667
xception,resize_sev3,ES_cos,12,0.8418210385828314,0.9620996756962015,0.7213489558116605,0.9480844330729357,0.3333333333333333,0.3333333333333333
xception,resize_sev3,explanation_IoU,12,0.7065714249949337,0.8321905174196684,0.5474538000568969,0.8521941927896556,0.3333333333333333,0.6666666666666666
efficientnet_b0,brightening_sev1,ES_cos,12,0.8512908892953154,0.8963897243873057,0.7769529890559851,0.915576242696247,0.3333333333333333,0.5
efficientnet_b0,brightening_sev1,explanation_IoU,12,0.6193062160850477,0.658490618317167,0.5507844557291259,0.6856208120862881,0.9166666666666666,1.0
efficientnet_b0,brightening_sev2,ES_cos,12,0.7263592525634355,0.7802017575693501,0.6237072455320598,0.8223296456112903,0.5833333333333334,0.9166666666666666
efficientnet_b0,brightening_sev2,explanation_IoU,12,0.465602466219547,0.465514491285799,0.38824573177623856,0.5434814732667228,1.0,1.0
efficientnet_b0,brightening_sev3,ES_cos,12,0.6211114326885397,0.6546992345958313,0.516718978606037,0.7170065475144187,0.8333333333333334,1.0
efficientnet_b0,brightening_sev3,explanation_IoU,12,0.3603739411334159,0.3726240618055241,0.29438604344371794,0.42291311146517624,1.0,1.0
efficientnet_b0,darkening_sev1,ES_cos,12,0.9227043129072712,0.9500459687820374,0.879958573874583,0.9579694217250727,0.08333333333333333,0.3333333333333333
efficientnet_b0,darkening_sev1,explanation_IoU,12,0.7379599167249652,0.7650628744649741,0.6907228716827323,0.7812341366191138,0.8333333333333334,1.0
efficientnet_b0,darkening_sev2,ES_cos,12,0.8148301081214212,0.8630834419244688,0.7288126250088772,0.8903195262650916,0.4166666666666667,0.5833333333333334
efficientnet_b0,darkening_sev2,explanation_IoU,12,0.5789098122857926,0.6042489951158574,0.51102637287721,0.6461861205656173,1.0,1.0
efficientnet_b0,darkening_sev3,ES_cos,12,0.6411031108563201,0.7074443176301668,0.5301967605344408,0.7480050350622747,0.75,0.9166666666666666
efficientnet_b0,darkening_sev3,explanation_IoU,12,0.4069756302744176,0.4078085144259162,0.3391243437032196,0.4778749271303836,1.0,1.0
efficientnet_b0,jpeg_sev1,ES_cos,12,0.7219754198770686,0.6998629805115388,0.5755280334815224,0.8570750455458138,0.5833333333333334,0.5833333333333334
efficientnet_b0,jpeg_sev1,explanation_IoU,12,0.544148429066079,0.44439711674691185,0.4113950087553494,0.6800594010240851,0.75,0.9166666666666666
efficientnet_b0,jpeg_sev2,ES_cos,12,0.4604593064361198,0.3888863381006596,0.2748258775870669,0.6586286694745884,0.75,0.8333333333333334
efficientnet_b0,jpeg_sev2,explanation_IoU,12,0.29959913054552095,0.29061119915595585,0.16832177787275268,0.4542246896581582,0.9166666666666666,1.0
efficientnet_b0,jpeg_sev3,ES_cos,12,0.32732187612031216,0.2873609520330005,0.19020584799309953,0.4809778954447836,0.9166666666666666,1.0
efficientnet_b0,jpeg_sev3,explanation_IoU,12,0.1742726771647797,0.12703381673677688,0.09424441830160564,0.26531031338553307,1.0,1.0
efficientnet_b0,resize_sev1,ES_cos,12,0.89496010432714,0.9524327008236716,0.8248061624435861,0.9573669195849539,0.3333333333333333,0.3333333333333333
efficientnet_b0,resize_sev1,explanation_IoU,12,0.7195904898319627,0.7211942329578299,0.6304860561489838,0.8089266177240251,0.5833333333333334,0.8333333333333334
efficientnet_b0,resize_sev2,ES_cos,12,0.841320745204862,0.9003845887724998,0.7396913089660591,0.930325334036118,0.3333333333333333,0.5
efficientnet_b0,resize_sev2,explanation_IoU,12,0.653510250652308,0.6144507475698886,0.5485164967729804,0.759690648181573,0.6666666666666666,0.8333333333333334
efficientnet_b0,resize_sev3,ES_cos,12,0.6743589429438682,0.741480653915471,0.5063520426613416,0.8338970575341925,0.5,0.5833333333333334
efficientnet_b0,resize_sev3,explanation_IoU,12,0.48672126126826804,0.45204555343891556,0.34787811665527635,0.628964904830467,0.8333333333333334,1.0
resnet50,brightening_sev1,ES_cos,12,0.9735268167701719,0.9783632930886657,0.9575724877645123,0.9850556717273166,0.0,0.08333333333333333
resnet50,brightening_sev1,explanation_IoU,12,0.8667531782741363,0.8664998774089379,0.8343732921728975,0.8948154166174983,0.08333333333333333,0.6666666666666666
resnet50,brightening_sev2,ES_cos,12,0.8999404836584118,0.9635139301020089,0.8246762378242579,0.9613397689339434,0.16666666666666666,0.25
resnet50,brightening_sev2,explanation_IoU,12,0.7542427818922618,0.8257718708016837,0.6661904239860966,0.8293169528233743,0.4166666666666667,1.0
resnet50,brightening_sev3,ES_cos,12,0.7817614530293936,0.8988573456488467,0.6299524947723337,0.9186229896804801,0.25,0.5
