model,transformation,localization_metric,faithfulness_method,n,rho,p_raw,p_bh
xception,brightening_sev1,SO,blur,12,0.25874125874125875,0.41677476889913817,0.9484022252365223
xception,brightening_sev1,IoU,blur,12,0.27272727272727276,0.39109677094189615,0.9348062465028856
xception,brightening_sev1,saliency_mass,blur,12,0.25874125874125875,0.41677476889913817,0.9692923252749204
xception,brightening_sev2,SO,blur,12,-0.10489510489510491,0.7456094809807079,0.9484022252365223
xception,brightening_sev2,IoU,blur,12,-0.0979020979020979,0.7621216559962992,0.9348062465028856
xception,brightening_sev2,saliency_mass,blur,12,-0.10489510489510491,0.7456094809807079,0.9692923252749204
xception,brightening_sev3,SO,blur,12,-0.02097902097902098,0.9484022252365222,0.9484022252365223
xception,brightening_sev3,IoU,blur,12,-0.02097902097902098,0.9484022252365222,0.9484022252365223
xception,brightening_sev3,saliency_mass,blur,12,0.006993006993006993,0.9827917689028476,0.9827917689028476
xception,clean,SO,blur,12,-0.06993006993006995,0.8290236405313092,0.9484022252365223
xception,clean,IoU,blur,12,-0.1188811188811189,0.712884219214772,0.9348062465028856
xception,clean,saliency_mass,blur,12,-0.04195804195804196,0.8969858708195542,0.9717346933878503
xception,darkening_sev1,SO,blur,12,-0.04195804195804196,0.8969858708195542,0.9484022252365223
xception,darkening_sev1,IoU,blur,12,-0.055944055944055944,0.8628980736949713,0.9348062465028856
xception,darkening_sev1,saliency_mass,blur,12,-0.04195804195804196,0.8969858708195542,0.9717346933878503
xception,darkening_sev2,SO,blur,12,-0.15384615384615385,0.6330906812462617,0.9484022252365223
xception,darkening_sev2,IoU,blur,12,-0.25874125874125875,0.41677476889913817,0.9348062465028856
xception,darkening_sev2,saliency_mass,blur,12,-0.1258741258741259,0.696683109395766,0.9692923252749204
xception,darkening_sev3,SO,blur,12,-0.1188811188811189,0.712884219214772,0.9484022252365223
xception,darkening_sev3,IoU,blur,12,-0.08391608391608392,0.7954145018538978,0.9348062465028856
xception,darkening_sev3,saliency_mass,blur,12,-0.18181818181818185,0.5717012385276553,0.9692923252749204
xception,jpeg_sev1,SO,blur,12,-0.2937062937062937,0.3541476412329215,0.9484022252365223
xception,jpeg_sev1,IoU,blur,12,-0.37762237762237766,0.22620604493502647,0.9348062465028856
xception,jpeg_sev1,saliency_mass,blur,12,-0.2867132867132868,0.36625146058358227,0.9692923252749204
xception,jpeg_sev2,SO,blur,12,-0.5734265734265735,0.05126558978649151,0.33322633361219484
xception,jpeg_sev2,IoU,blur,12,-0.5734265734265735,0.05126558978649151,0.6664526672243897
xception,jpeg_sev2,saliency_mass,blur,12,-0.6153846153846154,0.033169901090105904,0.38083159002568967
xception,jpeg_sev3,SO,blur,12,0.07692307692307693,0.8121826980280591,0.9484022252365223
xception,jpeg_sev3,IoU,blur,12,0.06293706293706294,0.8459309212287789,0.9348062465028856
xception,jpeg_sev3,saliency_mass,blur,12,0.1398601398601399,0.6646331617926677,0.9692923252749204
xception,resize_sev1,SO,blur,12,0.2657342657342658,0.4038330883147116,0.9484022252365223
xception,resize_sev1,IoU,blur,12,0.2447552447552448,0.44326193645018325,0.9348062465028856
xception,resize_sev1,saliency_mass,blur,12,0.2517482517482518,0.4299187850328841,0.9692923252749204
xception,resize_sev2,SO,blur,12,0.16783216783216784,0.6020994277865379,0.9484022252365223
xception,resize_sev2,IoU,blur,12,0.18181818181818185,0.5717012385276553,0.9348062465028856
xception,resize_sev2,saliency_mass,blur,12,0.17482517482517487,0.5868236643627043,0.9692923252749204
xception,resize_sev3,SO,blur,12,0.5734265734265735,0.05126558978649151,0.33322633361219484
xception,resize_sev3,IoU,blur,12,0.4685314685314686,0.12445479118883407,0.8089561427274214
xception,resize_sev3,saliency_mass,blur,12,0.5594405594405596,0.05858947538856764,0.38083159002568967
efficientnet_b0,brightening_sev1,SO,blur,12,-0.6573426573426573,0.020185498509854093,0.06757955465976832
efficientnet_b0,brightening_sev1,IoU,blur,12,-0.6643356643356644,0.01845271802844544,0.10088743911251548
efficientnet_b0,brightening_sev1,saliency_mass,blur,12,-0.6433566433566434,0.024003191200713647,0.10401382853642581
efficientnet_b0,brightening_sev2,SO,blur,12,-0.5314685314685316,0.07536233505348361,0.09797103556952869
