model,transformation,metric,n,clean_mean,transformed_mean,mean_degradation,median_degradation,ci95_lower,ci95_upper,rank_biserial,wilcoxon_W,p_raw,p_bh
xception,brightening_sev1,SO,12,0.295327350093132,0.28485823246207725,0.010469117631054804,0.005287238257094221,0.0027363780741393815,0.018983946406494777,0.717948717948718,11.0,0.02685546875,0.04603794642857143
xception,brightening_sev1,IoU,12,0.19240914682730872,0.18337330554712547,0.009035841280183234,0.005496889356436219,0.002692099246125178,0.015983692343158433,0.7435897435897436,10.0,0.02099609375,0.03599330357142857
xception,brightening_sev1,saliency_mass,12,0.2921354654095983,0.2825278031055805,0.009607662304017823,0.0027021701603142517,0.002120667288430639,0.018077791222623363,0.5897435897435898,16.0,0.0771484375,0.10286458333333333
xception,brightening_sev1,faithfulness_blur,12,0.0027429592226754593,-0.013420800063704483,0.016163759286379944,0.0029629797038777375,-0.0074452875906997834,0.05287397027954711,0.4358974358974359,22.0,0.20361328125,0.56015625
xception,brightening_sev2,SO,12,0.295327350093132,0.2618768286590996,0.033450521434032425,0.020480449260364478,0.012387231900762305,0.05817818719956628,0.7692307692307693,9.0,0.01611328125,0.0322265625
xception,brightening_sev2,IoU,12,0.19240914682730872,0.1651784972972737,0.02723064953003505,0.019303677146015788,0.010712527131739877,0.045546527163220565,0.8461538461538461,6.0,0.0068359375,0.013671875
xception,brightening_sev2,saliency_mass,12,0.2921354654095983,0.26180828447247956,0.030327180937118763,0.0167582361738874,0.010362606177346082,0.05248706391459481,0.7692307692307693,9.0,0.01611328125,0.038671875
xception,brightening_sev2,faithfulness_blur,12,0.0027429592226754593,-0.026449665962801506,0.029192625185476967,0.0010295100475132047,-0.00997407659562482,0.08464736277605311,0.41025641025641024,23.0,0.2333984375,0.56015625
xception,brightening_sev3,SO,12,0.295327350093132,0.20623686421738185,0.08909048587575019,0.06358716567852633,0.03979507772122519,0.15140652714511715,0.9743589743589743,1.0,0.0009765625,0.00390625
xception,brightening_sev3,IoU,12,0.19240914682730872,0.1251011798835776,0.06730796694373112,0.05318403109085824,0.03194924863681541,0.10997855311183538,0.9487179487179487,2.0,0.00146484375,0.005859375
xception,brightening_sev3,saliency_mass,12,0.2921354654095983,0.21146597039063428,0.08066949501896406,0.054718427978186185,0.03454215062850581,0.13829719697586634,0.9743589743589743,1.0,0.0009765625,0.005859375
xception,brightening_sev3,faithfulness_blur,12,0.0027429592226754593,-0.04895753567976546,0.05170049490244092,0.029539374607015553,0.016036850807918085,0.09756169686239205,0.8717948717948718,5.0,0.0048828125,0.029296875
xception,darkening_sev1,SO,12,0.295327350093132,0.297374116831656,-0.002046766738523926,-0.0020724683040376918,-0.004671635437142472,0.0002441262864281118,-0.5641025641025641,17.0,0.09228515625,0.1107421875
xception,darkening_sev1,IoU,12,0.19240914682730872,0.1934973248133083,-0.001088177985999625,-0.0015740734738633952,-0.002780708647773372,0.000620381799144607,-0.41025641025641024,23.0,0.2333984375,0.2546164772727273
xception,darkening_sev1,saliency_mass,12,0.2921354654095983,0.2942769223186092,-0.0021414569090108617,-0.001014565582397764,-0.004539627177520104,-7.644818946228604e-05,-0.6410256410256411,14.0,0.05224609375,0.078369140625
xception,darkening_sev1,faithfulness_blur,12,0.0027429592226754593,0.002735439391961416,7.519830714043699e-06,-0.00045228579789921406,-0.0033154468679053016,0.0036970306982898405,-0.2564102564102564,29.0,0.4697265625,0.69140625
xception,darkening_sev2,SO,12,0.295327350093132,0.3043320211955354,-0.009004671102403284,-0.005088651806851308,-0.020110743450519792,-0.0016730984702206914,-0.6923076923076923,12.0,0.0341796875,0.05126953125
xception,darkening_sev2,IoU,12,0.19240914682730872,0.19864247589064568,-0.006233329063337026,-0.004145809452305978,-0.013885270238029544,-0.0009087335008722679,-0.6153846153846154,15.0,0.06396484375,0.08528645833333333
xception,darkening_sev2,saliency_mass,12,0.2921354654095983,0.30064264756828035,-0.008507182158682021,-0.003224931186718197,-0.018748643447326067,-0.001697047815087312,-0.6923076923076923,12.0,0.0341796875,0.05859375
xception,darkening_sev2,faithfulness_blur,12,0.0027429592226754593,0.004398773120771756,-0.0016558138980962988,-0.0002906539814204156,-0.018164384172419543,0.014728835714077399,-0.23076923076923078,30.0,0.5185546875,0.69140625
xception,darkening_sev3,SO,12,0.295327350093132,0.31604246865069036,-0.020715118557558254,-0.009613989158991434,-0.04115635316103921,-0.007409608307891103,-0.9230769230769231,3.0,0.00244140625,0.00732421875
xception,darkening_sev3,IoU,12,0.19240914682730872,0.2082200747850631,-0.015810927957754368,-0.008488383030640458,-0.03024437666980275,-0.005919179818458898,-0.9230769230769231,3.0,0.00244140625,0.00732421875
xception,darkening_sev3,saliency_mass,12,0.2921354654095983,0.3109314915858096,-0.018796026176211303,-0.00896058662004906,-0.038369880386568946,-0.005761958283308528,-0.8461538461538461,6.0,0.0068359375,0.0205078125
xception,darkening_sev3,faithfulness_blur,12,0.0027429592226754593,0.005927014693869168,-0.0031840554711937076,-0.0003233747688909037,-0.022168940205009285,0.016810599058904144,-0.3333333333333333,26.0,0.33935546875,0.6520647321428571
xception,jpeg_sev1,SO,12,0.295327350093132,0.266248415798903,0.029078934294229048,0.015197415900203348,0.012296159319659048,0.048040784548336414,0.8717948717948718,5.0,0.0048828125,0.01171875
xception,jpeg_sev1,IoU,12,0.19240914682730872,0.16983144206529713,0.022577704762011597,0.013292574253532703,0.009569381791751274,0.037743628384456815,0.8717948717948718,5.0,0.0048828125,0.01171875
xception,jpeg_sev1,saliency_mass,12,0.2921354654095983,0.262802226971336,0.029333238438262313,0.014585074004834109,0.011211422878021038,0.04963871675242591,0.7435897435897436,10.0,0.02099609375,0.0419921875
xception,jpeg_sev1,faithfulness_blur,12,0.0027429592226754593,0.008536749891231632,-0.005793790668556173,0.0006511462057918805,-0.024848252608122658,0.011307632290076017,0.10256410256410256,35.0,0.791015625,0.791015625
xception,jpeg_sev2,SO,12,0.295327350093132,0.17512196241683456,0.12020538767629747,0.13299116632919145,0.07432381688065264,0.16566246113332922,1.0,0.0,0.00048828125,0.0029296875
xception,jpeg_sev2,IoU,12,0.19240914682730872,0.10471764566701747,0.08769150116029127,0.10027378023784653,0.054627312410423054,0.12011725353905757,1.0,0.0,0.00048828125,0.0029296875
xception,jpeg_sev2,saliency_mass,12,0.2921354654095983,0.17491180906977533,0.11722365633982296,0.12612234823613372,0.07151414213727977,0.16326697805095022,0.9487179487179487,2.0,0.00146484375,0.005859375
xception,jpeg_sev2,faithfulness_blur,12,0.0027429592226754593,-0.02579133741203762,0.028534296634713078,-0.00027741613584925107,-0.011930059326049316,0.07537208559780882,0.1794871794871795,32.0,0.6220703125,0.746484375
