model,family,metric,severity_levels,rho,p_raw,means,p_bh
xception,jpeg,SO,3,-1.0,0.0,0.266248|0.175122|0.088254,0.0
xception,jpeg,IoU,3,-1.0,0.0,0.169831|0.104718|0.045574,0.0
xception,jpeg,saliency_mass,3,-1.0,0.0,0.262802|0.174912|0.079378,0.0
xception,jpeg,faithfulness_blur,3,-0.5,0.6666666666666666,0.008537|-0.025791|0.005081,0.6666666666666666
xception,jpeg,ES_cos,3,-1.0,0.0,0.862390|0.536296|0.151889,0.0
xception,jpeg,explanation_IoU,3,-1.0,0.0,0.750831|0.400279|0.049578,0.0
xception,resize,SO,3,-1.0,0.0,0.313476|0.303302|0.271199,0.0
xception,resize,IoU,3,-1.0,0.0,0.206361|0.197578|0.173317,0.0
xception,resize,saliency_mass,3,-1.0,0.0,0.308665|0.298346|0.268748,0.0
xception,resize,faithfulness_blur,3,-0.5,0.6666666666666666,-0.002915|-0.001363|-0.069742,0.6666666666666666
xception,resize,ES_cos,3,-1.0,0.0,0.954345|0.948991|0.841821,0.0
xception,resize,explanation_IoU,3,-1.0,0.0,0.870885|0.839532|0.706571,0.0
xception,darkening,SO,3,1.0,0.0,0.297374|0.304332|0.316042,0.0
xception,darkening,IoU,3,1.0,0.0,0.193497|0.198642|0.208220,0.0
xception,darkening,saliency_mass,3,1.0,0.0,0.294277|0.300643|0.310931,0.0
xception,darkening,faithfulness_blur,3,1.0,0.0,0.002735|0.004399|0.005927,0.0
xception,darkening,ES_cos,3,-1.0,0.0,0.993444|0.976217|0.947671,0.0
xception,darkening,explanation_IoU,3,-1.0,0.0,0.933811|0.880965|0.830277,0.0
xception,brightening,SO,3,-1.0,0.0,0.284858|0.261877|0.206237,0.0
xception,brightening,IoU,3,-1.0,0.0,0.183373|0.165178|0.125101,0.0
xception,brightening,saliency_mass,3,-1.0,0.0,0.282528|0.261808|0.211466,0.0
xception,brightening,faithfulness_blur,3,-1.0,0.0,-0.013421|-0.026450|-0.048958,0.0
xception,brightening,ES_cos,3,-1.0,0.0,0.971392|0.920139|0.780964,0.0
xception,brightening,explanation_IoU,3,-1.0,0.0,0.871493|0.774710|0.595666,0.0
efficientnet_b0,jpeg,SO,3,-1.0,0.0,0.124068|0.075420|0.057074,0.0
efficientnet_b0,jpeg,IoU,3,-1.0,0.0,0.069186|0.039913|0.028488,0.0
efficientnet_b0,jpeg,saliency_mass,3,-1.0,0.0,0.116024|0.072879|0.054050,0.0
efficientnet_b0,jpeg,faithfulness_blur,3,-1.0,0.0,0.146147|0.051170|0.044763,0.0
efficientnet_b0,jpeg,ES_cos,3,-1.0,0.0,0.721975|0.460459|0.327322,0.0
efficientnet_b0,jpeg,explanation_IoU,3,-1.0,0.0,0.544148|0.299599|0.174273,0.0
efficientnet_b0,resize,SO,3,-0.5,0.6666666666666666,0.175832|0.172529|0.173822,0.6666666666666666
efficientnet_b0,resize,IoU,3,-0.5,0.6666666666666666,0.102576|0.099061|0.101386,0.6666666666666666
efficientnet_b0,resize,saliency_mass,3,0.5,0.6666666666666666,0.161554|0.159898|0.162795,0.6666666666666666
efficientnet_b0,resize,faithfulness_blur,3,-1.0,0.0,0.105656|0.087753|0.035593,0.0
efficientnet_b0,resize,ES_cos,3,-1.0,0.0,0.894960|0.841321|0.674359,0.0
efficientnet_b0,resize,explanation_IoU,3,-1.0,0.0,0.719590|0.653510|0.486721,0.0
efficientnet_b0,darkening,SO,3,-0.5,0.6666666666666666,0.185748|0.198075|0.182325,0.6666666666666666
efficientnet_b0,darkening,IoU,3,-0.5,0.6666666666666666,0.108877|0.116394|0.106476,0.6666666666666666
efficientnet_b0,darkening,saliency_mass,3,0.5,0.6666666666666666,0.172597|0.186871|0.178594,0.6666666666666666
efficientnet_b0,darkening,faithfulness_blur,3,1.0,0.0,0.162482|0.169827|0.205266,0.0
efficientnet_b0,darkening,ES_cos,3,-1.0,0.0,0.922704|0.814830|0.641103,0.0
efficientnet_b0,darkening,explanation_IoU,3,-1.0,0.0,0.737960|0.578910|0.406976,0.0
efficientnet_b0,brightening,SO,3,-1.0,0.0,0.132028|0.097080|0.087112,0.0
efficientnet_b0,brightening,IoU,3,-1.0,0.0,0.075508|0.054353|0.047794,0.0
efficientnet_b0,brightening,saliency_mass,3,-1.0,0.0,0.120196|0.092095|0.080224,0.0
efficientnet_b0,brightening,faithfulness_blur,3,-0.5,0.6666666666666666,0.209776|0.234650|0.178477,0.6666666666666666
efficientnet_b0,brightening,ES_cos,3,-1.0,0.0,0.851291|0.726359|0.621111,0.0
efficientnet_b0,brightening,explanation_IoU,3,-1.0,0.0,0.619306|0.465602|0.360374,0.0
resnet50,jpeg,SO,3,-1.0,0.0,0.242018|0.159092|0.062669,0.0
resnet50,jpeg,IoU,3,-1.0,0.0,0.144238|0.090539|0.033107,0.0
resnet50,jpeg,saliency_mass,3,-1.0,0.0,0.244497|0.162578|0.063833,0.0
resnet50,jpeg,faithfulness_blur,3,-0.5,0.6666666666666666,0.001385|-0.101334|-0.078018,0.6666666666666666
resnet50,jpeg,ES_cos,3,-1.0,0.0,0.921937|0.573620|0.166361,0.0
resnet50,jpeg,explanation_IoU,3,-1.0,0.0,0.816180|0.456534|0.092881,0.0
resnet50,resize,SO,3,-0.5,0.6666666666666666,0.268562|0.270299|0.256224,0.6666666666666666
resnet50,resize,IoU,3,-0.5,0.6666666666666666,0.163484|0.165087|0.155222,0.6666666666666666
resnet50,resize,saliency_mass,3,-0.5,0.6666666666666666,0.265810|0.267304|0.255870,0.6666666666666666
resnet50,resize,faithfulness_blur,3,-1.0,0.0,0.041221|0.037991|-0.009486,0.0
resnet50,resize,ES_cos,3,-1.0,0.0,0.971226|0.963657|0.893116,0.0
resnet50,resize,explanation_IoU,3,-1.0,0.0,0.885958|0.864742|0.753209,0.0
resnet50,darkening,SO,3,-1.0,0.0,0.246631|0.208405|0.167057,0.0
resnet50,darkening,IoU,3,-1.0,0.0,0.148142|0.123772|0.096686,0.0
resnet50,darkening,saliency_mass,3,-1.0,0.0,0.247577|0.211184|0.169942,0.0
resnet50,darkening,faithfulness_blur,3,-1.0,0.0,0.039235|0.024851|0.013149,0.0
resnet50,darkening,ES_cos,3,-1.0,0.0,0.932905|0.797210|0.600316,0.0
resnet50,darkening,explanation_IoU,3,-1.0,0.0,0.812990|0.644424|0.443304,0.0
resnet50,brightening,SO,3,-1.0,0.0,0.253587|0.232448|0.186917,0.0
resnet50,brightening,IoU,3,-1.0,0.0,0.151717|0.139284|0.110420,0.0
resnet50,brightening,saliency_mass,3,-1.0,0.0,0.257392|0.235791|0.193958,0.0
resnet50,brightening,faithfulness_blur,3,-1.0,0.0,0.028792|-0.006788|-0.018719,0.0
resnet50,brightening,ES_cos,3,-1.0,0.0,0.973527|0.899940|0.781761,0.0
resnet50,brightening,explanation_IoU,3,-1.0,0.0,0.866753|0.754243|0.625532,0.0
