"holdout","model","seed","baseline_file","lomo_run_folder","baseline_accuracy","lomo_accuracy","delta_accuracy","baseline_precision","lomo_precision","delta_precision","baseline_recall","lomo_recall","delta_recall","baseline_f1","lomo_f1","delta_f1","baseline_roc_auc","lomo_roc_auc","delta_roc_auc"
"Deepfakes","efficientnet_b0","42","Deepfakes\efficientnet_b0_seed42\test_results.json","holdout_Deepfakes_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_12-46-36_seed42","0.75","0.75","0","0.6875","1","0.3125","0.9166666666666666","0.5","-0.41666666666666663","0.7857142857142857","0.6666666666666666","-0.11904761904761907","0.9374999999999999","0.861111111111111","-0.07638888888888884"
"Deepfakes","efficientnet_b0","123","Deepfakes\efficientnet_b0_seed123\test_results.json","holdout_Deepfakes_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_13-16-48_seed123","0.9166666666666666","0.7916666666666666","-0.125","0.9166666666666666","0.7692307692307693","-0.14743589743589736","0.9166666666666666","0.8333333333333334","-0.08333333333333326","0.9166666666666666","0.8","-0.11666666666666659","0.9652777777777777","0.798611111111111","-0.16666666666666663"
"Deepfakes","efficientnet_b0","2024","Deepfakes\efficientnet_b0_seed2024\test_results.json","holdout_Deepfakes_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_13-32-21_seed2024","0.7916666666666666","0.8333333333333334","0.04166666666666674","0.7692307692307693","0.8333333333333334","0.0641025641025641","0.8333333333333334","0.8333333333333334","0","0.8","0.8333333333333334","0.033333333333333326","0.9166666666666666","0.888888888888889","-0.02777777777777768"
"Deepfakes","resnet50","42","Deepfakes\resnet50_seed42\test_results.json","holdout_Deepfakes_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_13-56-12_seed42","0.9583333333333334","0.6666666666666666","-0.29166666666666674","1","0.75","-0.25","0.9166666666666666","0.5","-0.41666666666666663","0.9565217391304348","0.6","-0.35652173913043483","0.9513888888888888","0.8472222222222222","-0.10416666666666663"
"Deepfakes","resnet50","123","Deepfakes\resnet50_seed123\test_results.json","holdout_Deepfakes_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_14-22-55_seed123","0.9166666666666666","0.75","-0.16666666666666663","0.9166666666666666","0.8","-0.11666666666666659","0.9166666666666666","0.6666666666666666","-0.25","0.9166666666666666","0.7272727272727273","-0.18939393939393934","0.9722222222222223","0.8680555555555556","-0.10416666666666674"
"Deepfakes","resnet50","2024","Deepfakes\resnet50_seed2024\test_results.json","holdout_Deepfakes_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_14-42-56_seed2024","0.8333333333333334","0.875","0.04166666666666663","0.7857142857142857","0.9090909090909091","0.12337662337662336","0.9166666666666666","0.8333333333333334","-0.08333333333333326","0.8461538461538461","0.8695652173913043","0.02341137123745818","0.9375","0.9027777777777778","-0.03472222222222221"
"Deepfakes","xception","42","Deepfakes\xception_seed42\test_results.json","holdout_Deepfakes_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_22-28-18_seed42","0.875","0.8333333333333334","-0.04166666666666663","1","0.9","-0.09999999999999998","0.75","0.75","0","0.8571428571428571","0.8181818181818182","-0.03896103896103886","0.9444444444444444","0.8819444444444444","-0.0625"
"Deepfakes","xception","123","Deepfakes\xception_seed123\test_results.json","holdout_Deepfakes_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_23-40-32_seed123","0.9583333333333334","0.7083333333333334","-0.25","1","0.7777777777777778","-0.2222222222222222","0.9166666666666666","0.5833333333333334","-0.33333333333333326","0.9565217391304348","0.6666666666666666","-0.2898550724637682","0.9513888888888888","0.8680555555555555","-0.08333333333333337"
"Deepfakes","xception","2024","Deepfakes\xception_seed2024\test_results.json","holdout_Deepfakes_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_11-05-26_seed2024","0.8333333333333334","0.7083333333333334","-0.125","0.7857142857142857","1","0.2142857142857143","0.9166666666666666","0.4166666666666667","-0.49999999999999994","0.8461538461538461","0.5882352941176471","-0.25791855203619907","0.923611111111111","0.9583333333333334","0.03472222222222232"
"Face2Face","efficientnet_b0","42","Face2Face\efficientnet_b0_seed42\test_results.json","holdout_Face2Face_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_15-09-34_seed42","0.7083333333333334","0.5833333333333334","-0.125","0.6666666666666666","0.6","-0.06666666666666665","0.8333333333333334","0.5","-0.33333333333333337","0.7407407407407407","0.5454545454545454","-0.19528619528619529","0.9166666666666666","0.7361111111111112","-0.18055555555555547"
