n_total,n_valid,n_nonzero,mean_clean,mean_transformed,mean_diff,median_diff,w_stat,raw_p,r_rb,ci_lower,ci_upper,test_status,model,seed,transformation,metric,test_family,rho,adjusted_p
48.0,48,48.0,0.15851486946063553,0.13202777841479704,0.02648709104583849,0.019735447666582598,250.0,0.0005265975903676868,0.5748299319727891,0.01270530331662871,0.04015999029248564,tested,efficientnet_b0,2024,brightening_sev1,SO,family_1_localization,,0.0007221909810756847
48.0,48,48.0,0.09154376257045016,0.0755080163176356,0.016035746252814554,0.01571582408686515,240.0,0.0003577744771057063,0.5918367346938775,0.007782159311351999,0.02431875741910305,tested,efficientnet_b0,2024,brightening_sev1,IoU,family_1_localization,,0.0005203992394264818
48.0,48,48.0,0.1450203271993614,0.12019585638159358,0.024824470817767768,0.014019289656244022,259.0,0.0007394011806973661,0.5595238095238095,0.011373268997729877,0.03882788551525259,tested,efficientnet_b0,2024,brightening_sev1,saliency_mass,family_1_localization,,0.0009858682409298214
48.0,48,44.0,0.1879753556751047,0.15142409607203977,0.03655125960306494,0.026171741361614778,185.0,0.00029681078525040875,0.6262626262626263,0.01719151606694578,0.05630266148688744,tested,efficientnet_b0,2024,brightening_sev1,hit_rate,family_1_localization,,0.0004452161778756131
48.0,48,48.0,0.18073034001608054,0.21088052552818423,-0.030150185512103623,-3.474159454085176e-08,479.0,0.2634318834116306,-0.18537414965986396,-0.05519425592014964,-0.007306685667586545,tested,efficientnet_b0,2024,brightening_sev1,faithfulness_blur,family_2_faithfulness,,0.3793419121127481
48.0,48,48.0,0.2970121706520467,0.36315544416345774,-0.06614327351141111,-0.04058614652792593,355.0,0.016824094740372005,-0.39625850340136054,-0.11505820004406624,-0.02130961063342819,tested,efficientnet_b0,2024,brightening_sev1,faithfulness_zero,family_2_faithfulness,,0.05336281342927115
48.0,48,48.0,0.2922586076337687,0.34309057078864696,-0.05083196315487822,-0.018882581790865847,435.0,0.11647401040019019,-0.2602040816326531,-0.09998699632021221,-0.00564812246311275,tested,efficientnet_b0,2024,brightening_sev1,faithfulness_mean,family_2_faithfulness,,0.22068759865299192
48.0,48,48.0,0.15851486946063553,0.09707988860560662,0.06143498085502893,0.04172130536200763,87.0,2.765988043844022e-07,0.8520408163265306,0.0426360351970699,0.07987706064603525,tested,efficientnet_b0,2024,brightening_sev2,SO,family_1_localization,,5.772496787152742e-07
48.0,48,48.0,0.09154376257045016,0.05435322973160193,0.03719053283884823,0.024968847587631356,73.0,1.2755178590730714e-07,0.8758503401360545,0.026914851405695363,0.048641360355390226,tested,efficientnet_b0,2024,brightening_sev2,IoU,family_1_localization,,2.943098348464344e-07
48.0,48,48.0,0.1450203271993614,0.09209461698693795,0.052925710212423406,0.030925059292824145,67.0,9.098241806577213e-08,0.8860544217687075,0.03521685303851217,0.07036237489496003,tested,efficientnet_b0,2024,brightening_sev2,saliency_mass,family_1_localization,,2.5673903816129324e-07
48.0,48,43.0,0.1879753556751047,0.10861651708539481,0.0793588385897099,0.049999999999999996,29.0,8.232240643154938e-08,0.9386892177589852,0.05698147251839431,0.10210391362476366,tested,efficientnet_b0,2024,brightening_sev2,hit_rate,family_1_localization,,2.4696721929464816e-07
48.0,48,48.0,0.18073034001608054,0.23746406923869737,-0.0567337292226168,-0.0004884040343399974,456.0,0.17564342088757545,-0.22448979591836735,-0.11094234875714928,-0.006374649017497381,tested,efficientnet_b0,2024,brightening_sev2,faithfulness_blur,family_2_faithfulness,,0.28741650690694165
48.0,48,48.0,0.2970121706520467,0.3793316847697361,-0.0823195141176895,-0.07999208961662493,405.0,0.06044406777480822,-0.3112244897959184,-0.14465958409109614,-0.02228509345861535,tested,efficientnet_b0,2024,brightening_sev2,faithfulness_zero,family_2_faithfulness,,0.1279992023466527
48.0,48,48.0,0.2922586076337687,0.3831554178864926,-0.09089681025272382,-0.10552105743830145,386.0,0.03822104691242829,-0.3435374149659864,-0.16133953535780662,-0.0252898396278408,tested,efficientnet_b0,2024,brightening_sev2,faithfulness_mean,family_2_faithfulness,,0.09828269206052988
48.0,48,48.0,0.15851486946063553,0.08711241750236935,0.07140245195826621,0.04773408132585966,43.0,2.2702042715716474e-08,0.9268707482993197,0.05250737013470325,0.09087691058369184,tested,efficientnet_b0,2024,brightening_sev3,SO,family_1_localization,,1.0896980503543907e-07
48.0,48,48.0,0.09154376257045016,0.04779383884982582,0.043749923720624355,0.02887086771028699,42.0,2.1398786709105285e-08,0.9285714285714286,0.033179630189646404,0.055295854871544224,tested,efficientnet_b0,2024,brightening_sev3,IoU,family_1_localization,,1.0896980503543907e-07
