n_total,n_valid,n_nonzero,mean_clean,mean_transformed,mean_diff,median_diff,w_stat,raw_p,r_rb,ci_lower,ci_upper,test_status,model,seed,transformation,metric,test_family,rho,adjusted_p
48.0,48,48.0,0.25842921463769697,0.25358650728433124,0.00484270735336575,0.003062548456583991,447.0,0.14811272561628394,0.23979591836734693,-0.0010633805933465334,0.010999031135441876,tested,resnet50,123,brightening_sev1,SO,family_1_localization,,0.1692716864186102
48.0,48,48.0,0.15568354182609964,0.15171708582015175,0.003966456005947878,0.0024247207117413516,438.0,0.12391603430374179,0.25510204081632654,-0.0005296924563454502,0.008771170187001546,tested,resnet50,123,brightening_sev1,IoU,family_1_localization,,0.14507243040438064
48.0,48,48.0,0.2582369356499287,0.2573917777654865,0.0008451578844422101,0.00037421966457867016,540.0,0.6224835392929953,0.08163265306122448,-0.00344399980204814,0.004961422381540982,tested,resnet50,123,brightening_sev1,saliency_mass,family_1_localization,,0.6495480410013864
48.0,48,34.0,0.3322296666895133,0.32862337006301107,0.003606296626502324,0.0,244.0,0.36030684953823267,0.17983193277310924,-0.004201347690255401,0.012278199313641795,tested,resnet50,123,brightening_sev1,hit_rate,family_1_localization,,0.402202994833376
48.0,48,48.0,0.04523507636731117,0.02856179456764794,0.016673281799663226,0.012448171277840932,216.0,0.0001352816197502473,0.6326530612244898,0.008082698756533325,0.024596713105930916,tested,resnet50,123,brightening_sev1,faithfulness_blur,family_2_faithfulness,,0.00021174514395690884
48.0,48,48.0,0.6445422700201063,0.6468840160064079,-0.0023417459863015167,0.01426396574353489,541.0,0.6296568977022459,0.07993197278911565,-0.020528779417847347,0.013641001656965595,tested,resnet50,123,brightening_sev1,faithfulness_zero,family_2_faithfulness,,0.6868984338569954
48.0,48,48.0,0.5169412794817214,0.6110046525345184,-0.09406337305279704,-0.09928569693838352,42.0,2.120860779607109e-08,-0.9285714285714286,-0.11114647589133736,-0.0751983448443756,tested,resnet50,123,brightening_sev1,faithfulness_mean,family_2_faithfulness,,6.362582338821328e-08
48.0,48,47.0,0.25842921463769697,0.23244761694608695,0.02598159769161007,0.006175051612480831,353.0,0.025553609888101684,0.374113475177305,0.008978921295255606,0.04466862685740014,tested,resnet50,123,brightening_sev2,SO,family_1_localization,,0.03504495070368231
48.0,48,47.0,0.15568354182609964,0.13928409587968016,0.01639944594641946,0.005069062294839097,341.0,0.018278852086419512,0.3953900709219858,0.005697092558347768,0.02793876778694171,tested,resnet50,123,brightening_sev2,IoU,family_1_localization,,0.025805438239651077
48.0,48,48.0,0.2582369356499287,0.23579061517979338,0.02244632047013534,0.0019745649546463184,420.0,0.08485822846706735,0.2857142857142857,0.006761419260918996,0.0399338825003379,tested,resnet50,123,brightening_sev2,saliency_mass,family_1_localization,,0.10182987416048081
48.0,48,38.0,0.3322296666895133,0.2962129342814133,0.03601673240810003,0.0024630541871921152,246.0,0.07095416374610497,0.3360323886639676,0.008792064529642232,0.06577796431279363,tested,resnet50,123,brightening_sev2,hit_rate,family_1_localization,,0.08732820153366766
48.0,48,48.0,0.04523507636731117,-0.005959882490930259,0.05119495885824143,0.03396717499508809,196.0,5.77464708259082e-05,0.6666666666666666,0.02901179398608093,0.07282227660928456,tested,resnet50,123,brightening_sev2,faithfulness_blur,family_2_faithfulness,,9.89939499872712e-05
48.0,48,48.0,0.6445422700201063,0.5587085201813845,0.08583374983872179,0.06373187698222504,206.0,8.882962115046375e-05,0.6496598639455783,0.04345833323430299,0.12439601650028888,tested,resnet50,123,brightening_sev2,faithfulness_zero,family_2_faithfulness,,0.00014535756188257704
48.0,48,48.0,0.5169412794817214,0.5793550686707917,-0.06241378918907021,-0.11585376233524511,338.0,0.010319189908034923,-0.42517006802721086,-0.10401986393130072,-0.01941816472692268,tested,resnet50,123,brightening_sev2,faithfulness_mean,family_2_faithfulness,,0.012810028851353697
48.0,48,47.0,0.25842921463769697,0.18691695910170528,0.07151225553599173,0.012406910488640455,236.0,0.0005183428596081169,0.5815602836879432,0.04137231865300695,0.10241823818467326,tested,resnet50,123,brightening_sev3,SO,family_1_localization,,0.0009214984170810966
48.0,48,47.0,0.15568354182609964,0.11042044661781618,0.045263095208283456,0.00929803623784629,223.0,0.0003077735806860166,0.6046099290780141,0.02667076487533486,0.06433624056708225,tested,resnet50,123,brightening_sev3,IoU,family_1_localization,,0.0005681973797280307
48.0,48,48.0,0.2582369356499287,0.19395804731311314,0.06427888833681558,0.008024144952867795,296.0,0.00274418454463873,0.4965986394557823,0.03451775187702699,0.09511712242502068,tested,resnet50,123,brightening_sev3,saliency_mass,family_1_localization,,0.004542098556643415
48.0,48,34.0,0.3322296666895133,0.23650337677892644,0.09572628991058686,0.010495780590717319,117.5,0.0020863710923080176,0.6050420168067226,0.04519646722225483,0.14937765229644712,tested,resnet50,123,brightening_sev3,hit_rate,family_1_localization,,0.003576636158242316
48.0,48,48.0,0.04523507636731117,-0.016208010555363833,0.06144308692267499,0.03633668023286089,332.0,0.008626683120601457,0.43537414965986393,0.02922592074516564,0.09797540986149779,tested,resnet50,123,brightening_sev3,faithfulness_blur,family_2_faithfulness,,0.011091449726487587
48.0,48,48.0,0.6445422700201063,0.45274585980093995,0.19179641021916638,0.118965030037739,123.0,1.8349627207571857e-06,0.7908163265306123,0.12725391376807624,0.25669494907011703,tested,resnet50,123,brightening_sev3,faithfulness_zero,family_2_faithfulness,,4.718475567661334e-06
48.0,48,48.0,0.5169412794817214,0.5273984739677439,-0.010457194486022392,-0.11726710825938608,570.0,0.853483090501271,-0.030612244897959183,-0.08258038499658371,0.06023819348849043,tested,resnet50,123,brightening_sev3,faithfulness_mean,family_2_faithfulness,,0.853483090501271
48.0,48,48.0,0.25842921463769697,0.2466309163297077,0.011798298307989267,0.0008613196754716779,380.0,0.03288819391638109,0.35374149659863946,0.0047402572345317945,0.018471167678271772,tested,resnet50,123,darkening_sev1,SO,family_1_localization,,0.043850925221841454
48.0,48,48.0,0.15568354182609964,0.14814191915103253,0.0075416226750671,0.0003362440415535517,394.0,0.04660765419645451,0.3299319727891156,0.0028010225519114404,0.01212326005449195,tested,resnet50,123,darkening_sev1,IoU,family_1_localization,,0.06046398382242747
48.0,48,48.0,0.2582369356499287,0.2475765379885576,0.010660397661371076,0.0005881763537057137,409.0,0.0663585431268506,0.304421768707483,0.003597992191327934,0.017269463405537297,tested,resnet50,123,darkening_sev1,saliency_mass,family_1_localization,,0.08382131763391655
48.0,48,36.0,0.3322296666895133,0.3130350058968376,0.019194660792675743,0.010968592663629845,158.0,0.005967484483835299,0.5255255255255256,0.006092053028954105,0.031763697305007395,tested,resnet50,123,darkening_sev1,hit_rate,family_1_localization,,0.009239975974970786
48.0,48,48.0,0.04523507636731117,0.03854755271122471,0.006687523656086452,0.008486247038972567,419.0,0.08293522184300016,0.28741496598639454,-0.012105611667159498,0.027355094185808747,tested,resnet50,123,darkening_sev1,faithfulness_blur,family_2_faithfulness,,0.09330212457337518
48.0,48,48.0,0.6445422700201063,0.572602166486613,0.07194010353349331,0.0567896040718765,141.0,4.515521356257796e-06,0.7602040816326531,0.04515633094276812,0.10039579702151527,tested,resnet50,123,darkening_sev1,faithfulness_zero,family_2_faithfulness,,9.562280519134156e-06
48.0,48,48.0,0.5169412794817214,0.42546499034989366,0.09147628913182775,0.07349847271550358,36.0,1.48402234772798e-08,0.9387755102040817,0.06899053519863953,0.11152567324069353,tested,resnet50,123,darkening_sev1,faithfulness_mean,family_2_faithfulness,,5.342480451820728e-08
48.0,48,48.0,0.25842921463769697,0.20840452005062962,0.050024694587067375,0.03233454501074351,100.0,5.574861329438475e-07,0.8299319727891157,0.032784799015699195,0.06902056613706087,tested,resnet50,123,darkening_sev2,SO,family_1_localization,,1.5740784930179225e-06
48.0,48,48.0,0.15568354182609964,0.1237716706907287,0.03191187113537094,0.020188381256403543,110.0,9.446958949019426e-07,0.8129251700680272,0.02060545279065707,0.0441002316456297,tested,resnet50,123,darkening_sev2,IoU,family_1_localization,,2.3866001555417495e-06
48.0,48,48.0,0.2582369356499287,0.211184444103052,0.04705249154687669,0.0202660154578412,137.0,3.7300341827015914e-06,0.7670068027210885,0.029210714681426074,0.06585020501010945,tested,resnet50,123,darkening_sev2,saliency_mass,family_1_localization,,8.525792417603639e-06
48.0,48,42.0,0.3322296666895133,0.2721535377125838,0.06007612897692948,0.033333333333333326,151.0,0.00017149502453263468,0.6655592469545958,0.0320964385673762,0.087972676708289,tested,resnet50,123,darkening_sev2,hit_rate,family_1_localization,,0.0003292704471026586
