model,seed,video_id,category,ground_truth,transformation,transformation_family,severity,prob_fake,pred_fake,correct,SO,SO@10,SO@20,SO@30,IoU,IoU@10,IoU@20,IoU@30,saliency_mass,hit_rate,saliency_entropy,faithfulness,faithfulness_blur,faithfulness_zero,faithfulness_mean,ES_cos,explanation_IoU,explanation_IoU@10,explanation_IoU@20,explanation_IoU@30,prediction_preserved,n_valid_frames,n_failed_frames
resnet50,123,033,Original,0,brightening_sev1,brightening,1,0.03915059435250993,0.0049261083743842365,0.9950738916256158,,,,,,,,,,,,,,,,,,,,,0.9605911330049262,203,0
resnet50,123,033,Original,0,brightening_sev2,brightening,2,0.013802541931474583,0.0049261083743842365,0.9950738916256158,,,,,,,,,,,,,,,,,,,,,0.9605911330049262,203,0
resnet50,123,033,Original,0,brightening_sev3,brightening,3,0.004903991799715515,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.9556650246305419,203,0
resnet50,123,033,Original,0,clean,clean,0,0.0670288700582872,0.04433497536945813,0.9556650246305419,,,,,,,,,,,,,,,,,,,,,,203,0
resnet50,123,033,Original,0,darkening_sev1,darkening,1,0.028540738125453803,0.009852216748768473,0.9901477832512315,,,,,,,,,,,,,,,,,,,,,0.9655172413793104,203,0
resnet50,123,033,Original,0,darkening_sev2,darkening,2,0.04745060169818151,0.009852216748768473,0.9901477832512315,,,,,,,,,,,,,,,,,,,,,0.9556650246305419,203,0
resnet50,123,033,Original,0,darkening_sev3,darkening,3,0.14648850468959967,0.034482758620689655,0.9655172413793104,,,,,,,,,,,,,,,,,,,,,0.9704433497536946,203,0
resnet50,123,033,Original,0,jpeg_sev1,jpeg,1,0.0481807255221122,0.019704433497536946,0.9802955665024631,,,,,,,,,,,,,,,,,,,,,0.9556650246305419,203,0
resnet50,123,033,Original,0,jpeg_sev2,jpeg,2,0.015700571266521322,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.9556650246305419,203,0
resnet50,123,033,Original,0,jpeg_sev3,jpeg,3,0.03462711534247238,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.9556650246305419,203,0
resnet50,123,033,Original,0,resize_sev1,resize,1,0.580771563031018,0.6108374384236454,0.3891625615763547,,,,,,,,,,,,,,,,,,,,,0.43349753694581283,203,0
resnet50,123,033,Original,0,resize_sev2,resize,2,0.5590976324927961,0.5665024630541872,0.43349753694581283,,,,,,,,,,,,,,,,,,,,,0.46798029556650245,203,0
resnet50,123,033,Original,0,resize_sev3,resize,3,0.36512705782804583,0.1330049261083744,0.8669950738916257,,,,,,,,,,,,,,,,,,,,,0.8522167487684729,203,0
resnet50,123,033_097,Deepfakes,1,brightening_sev1,brightening,1,0.8677368074875748,0.9359605911330049,0.9359605911330049,0.41235052335702216,0.5006193519414042,0.41235052335702216,0.3502616355172966,0.29438642221427364,0.21700762745488075,0.29438642221427364,0.3054370078758999,0.45449094334622536,0.6157635467980296,11.511779113356116,0.39121648166649814,0.39121648166649814,0.7709315850541656,0.7748545586530652,0.9785083573805757,0.8811605684673482,0.8633414457179416,0.8811605684673482,0.8737063619838724,0.9704433497536946,203,0
resnet50,123,033_097,Deepfakes,1,brightening_sev2,brightening,2,0.5696475126670463,0.5812807881773399,0.5812807881773399,0.3137724353399624,0.38790882430667767,0.3137724353399624,0.2539010074720562,0.22274681213201603,0.16791473390722447,0.22274681213201603,0.21523283673841176,0.3626410537835215,0.458128078817734,11.477277116822492,0.2595062097287943,0.2595062097287943,0.4596339449804882,0.5091849377727494,0.7466636376064726,0.597837606051249,0.5811701647561633,0.597837606051249,0.583995741630281,0.625615763546798,203,0
resnet50,123,033_097,Deepfakes,1,brightening_sev3,brightening,3,0.2941675280109552,0.24630541871921183,0.24630541871921183,0.1717815210774174,0.21325880477191606,0.1717815210774174,0.1369340054539366,0.12373126147640381,0.09363770999289979,0.12373126147640381,0.11535509306858732,0.19920809170768958,0.2512315270935961,11.688996197554866,0.13344265055542195,0.13344265055542195,0.17446392259372426,0.2413743302642409,0.4162514389819339,0.3046110792277114,0.28064829337103814,0.3046110792277114,0.31064492716839415,0.29064039408866993,203,0
resnet50,123,033_097,Deepfakes,1,clean,clean,0,0.9097494673479367,0.9556650246305419,0.9556650246305419,0.42529084195347955,0.5186179617428798,0.42529084195347955,0.36157586846677403,0.30702818882920785,0.22719169762717067,0.30702818882920785,0.3185471718706325,0.4570023215295289,0.6354679802955665,11.619257828284955,0.4417953711975678,0.4417953711975678,0.8355787185851136,0.7535595753106284,,,,,,,203,0
resnet50,123,033_097,Deepfakes,1,darkening_sev1,darkening,1,0.8039442804765892,0.8522167487684729,0.8522167487684729,0.40816963126161526,0.5075844983403419,0.40816963126161526,0.3413896476524791,0.29672906700049306,0.225214152348617,0.29672906700049306,0.30062956950698033,0.4533477323297419,0.5960591133004927,11.57442814023624,0.47364095314015897,0.47364095314015897,0.7517239264570397,0.6139409807763003,0.9301769900350259,0.8199532780026028,0.8016463002141986,0.8199532780026028,0.8224281529558491,0.896551724137931,203,0
resnet50,123,033_097,Deepfakes,1,darkening_sev2,darkening,2,0.7419410761207196,0.8374384236453202,0.8374384236453202,0.3975585748980072,0.49315882510343895,0.3975585748980072,0.3252472437046866,0.2899408350724347,0.21821211960462905,0.2899408350724347,0.2844033794025909,0.44321862398697554,0.5714285714285714,11.591649605135613,0.4163926236166302,0.4163926236166302,0.6673724145211023,0.5166326534058073,0.8917826269068186,0.7485499728079759,0.7308710555757192,0.7485499728079759,0.7374752306239565,0.8719211822660099,203,0
resnet50,123,033_097,Deepfakes,1,darkening_sev3,darkening,3,0.5787878636032197,0.6157635467980296,0.6157635467980296,0.2749602247626702,0.3367803076502738,0.2749602247626702,0.22675905727256432,0.1904974267453506,0.1430511217876023,0.1904974267453506,0.18706303846437708,0.2801935881659869,0.4088669950738916,12.004200423292339,0.22963024149167124,0.22963024149167124,0.37059253432186956,0.29806318258857495,0.7129148908826307,0.5480271254641997,0.5185346575316234,0.5480271254641997,0.555142207839557,0.6600985221674877,203,0
resnet50,123,033_097,Deepfakes,1,jpeg_sev1,jpeg,1,0.7801585655035497,0.8571428571428571,0.8571428571428571,0.4087645300813264,0.5046911202826856,0.4087645300813264,0.34114413589713083,0.2943579075558358,0.22159307622983704,0.2943579075558358,0.2963163064537772,0.45484517557884596,0.6059113300492611,11.543628307398905,0.3827356795684017,0.3827356795684017,0.6983733901231013,0.653410566947767,0.9228616654276812,0.7898510886889814,0.7703414385550533,0.7898510886889814,0.7827719759959895,0.8719211822660099,203,0
resnet50,123,033_097,Deepfakes,1,jpeg_sev2,jpeg,2,0.26323734357462175,0.18226600985221675,0.18226600985221675,0.11350047479011773,0.14712280444378295,0.11350047479011773,0.09088563038047907,0.07592695335883441,0.062457393391641816,0.07592695335883441,0.07100479718940804,0.13677351532869583,0.17733990147783252,11.893215790170753,0.09956119536981903,0.09956119536981903,0.14055090416521018,0.14474300214598698,0.339638797453901,0.23008011371337203,0.216502302225049,0.23008011371337203,0.2543457519334862,0.22660098522167488,203,0
resnet50,123,033_097,Deepfakes,1,jpeg_sev3,jpeg,3,0.08727677195709138,0.0,0.0,0.0052731928455045,0.0035373093524970894,0.0052731928455045,0.0064882371392637386,0.002623272553359756,0.0011595393488280665,0.002623272553359756,0.0039011659344443065,0.006944074824965751,0.0,12.151809729966036,0.009950616882696484,0.009950616882696484,-0.018874916909813057,-0.003082356526369566,0.04579826647171097,0.017333833548593747,0.0034956448947676957,0.017333833548593747,0.0560881466273609,0.04433497536945813,203,0
resnet50,123,033_097,Deepfakes,1,resize_sev1,resize,1,0.9924238855615625,1.0,1.0,0.44590286202038737,0.5437713096951108,0.44590286202038737,0.3807747664514928,0.32572201855441185,0.2396200269479667,0.32572201855441185,0.34022567307041257,0.4632274109852639,0.6600985221674877,11.75494684961629,0.39341724975942977,0.39341724975942977,0.8827204731811443,0.7256869192927929,0.9611226493103473,0.8478021505523227,0.8023420188900889,0.8478021505523227,0.8450771215873856,0.9556650246305419,203,0
resnet50,123,033_097,Deepfakes,1,resize_sev2,resize,2,0.971289175778187,0.9950738916256158,0.9950738916256158,0.4551985088758032,0.5592342061673877,0.4551985088758032,0.38572426435918233,0.3364675223861409,0.24919011197669938,0.3364675223861409,0.3472665573369934,0.4788044375144824,0.6600985221674877,11.700491665619348,0.3862294531220873,0.3862294531220873,0.8486503663615053,0.6753443122056905,0.9547962030129078,0.824142475483465,0.772633611490434,0.824142475483465,0.8232431405922511,0.9605911330049262,203,0
resnet50,123,033_097,Deepfakes,1,resize_sev3,resize,3,0.5493479906925427,0.5763546798029556,0.5763546798029556,0.31210684601445843,0.40064298822955785,0.31210684601445843,0.2545680923194199,0.2162002589236929,0.1735996896421591,0.2162002589236929,0.20885975245178734,0.3080243053799539,0.5024630541871922,12.341798274975105,0.031471417308440934,0.031471417308440934,0.31400798872260033,0.210121444807264,0.6114190615392268,0.4115723886981615,0.3863623575134376,0.4115723886981615,0.41757431446630217,0.5911330049261084,203,0
resnet50,123,033_097,Face2Face,1,brightening_sev1,brightening,1,0.8433369433507323,0.9166666666666666,0.9166666666666666,0.21801213143659498,0.26317134623325017,0.21801213143659498,0.1836812952389228,0.13162443515073796,0.09511248904705467,0.13162443515073796,0.13744395445534016,0.2389168581092085,0.35,11.50849260489146,0.38609083512565123,0.38609083512565123,0.7280139204735557,0.7188158610680451,0.9711959859869315,0.8613794846739792,0.8474167145173602,0.8613794846739792,0.8552104773812591,0.9666666666666667,120,0
