model,seed,video_id,original_frame_number,frame_path,category,ground_truth,transformation,transformation_family,severity,prob_fake,pred_fake,correct,saliency_mass,hit_rate,saliency_entropy,SO@10,IoU@10,SO@20,IoU@20,SO@30,IoU@30,SO,IoU,prob_fake_blur,faithfulness_blur,prob_fake_zero,faithfulness_zero,prob_fake_mean,faithfulness_mean,faithfulness,ES_cos,explanation_IoU@10,explanation_IoU@20,explanation_IoU@30,explanation_IoU,clean_prob_fake,clean_pred_fake,prediction_preserved,prediction_state
xception,2024,033,0,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000000.jpg,Original,0,clean,clean,0,0.0025573628954589367,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,033,4,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000004.jpg,Original,0,clean,clean,0,0.0023379961494356394,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,033,8,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000008.jpg,Original,0,clean,clean,0,0.002585533307865262,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,033,12,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000012.jpg,Original,0,clean,clean,0,0.001878717914223671,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,033,16,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\033\frame_000016.jpg,Original,0,clean,clean,0,0.0015252858866006136,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,097,0,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\097\frame_000000.jpg,Original,0,clean,clean,0,0.01247030682861805,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,097,4,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\097\frame_000004.jpg,Original,0,clean,clean,0,0.00037851574597880244,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,097,8,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\097\frame_000008.jpg,Original,0,clean,clean,0,0.0005241542821750045,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,097,12,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\097\frame_000012.jpg,Original,0,clean,clean,0,0.012348487973213196,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xception,2024,097,16,E:\ADM_Project\Robust-Explainable-and-Generalizable-Deepfake-Image-Detection-using-CNNs\data\frames\test\real\097\frame_000016.jpg,Original,0,clean,clean,0,0.012034465558826923,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
