model,seed,video_id,category,ground_truth,transformation,transformation_family,severity,prob_fake,pred_fake,correct,n_valid_frames,n_failed_frames
xception,2024,033,Original,0,brightening_sev3,brightening,3,0.00120978842023754,0.0,1.0,5,0
xception,2024,033,Original,0,clean,clean,0,0.00217697923071678,0.0,1.0,5,0
xception,2024,033,Original,0,darkening_sev3,darkening,3,0.00261354998219754,0.0,1.0,5,0
xception,2024,033,Original,0,jpeg_sev3,jpeg,3,0.0005988193617667799,0.0,1.0,5,0
xception,2024,033,Original,0,resize_sev3,resize,3,0.2848001979291439,0.2,0.8,5,0
xception,2024,033_097,Deepfakes,1,brightening_sev3,brightening,3,0.08615825027227395,0.0,0.0,5,0
xception,2024,033_097,Deepfakes,1,clean,clean,0,0.635493814945221,0.6,0.6,5,0
xception,2024,033_097,Deepfakes,1,darkening_sev3,darkening,3,0.9608269572257996,1.0,1.0,5,0
xception,2024,033_097,Deepfakes,1,jpeg_sev3,jpeg,3,0.00230488117085762,0.0,0.0,5,0
xception,2024,033_097,Deepfakes,1,resize_sev3,resize,3,0.8103806555271149,0.8,0.8,5,0
xception,2024,097,Original,0,brightening_sev3,brightening,3,0.0019688072119606404,0.0,1.0,5,0
xception,2024,097,Original,0,clean,clean,0,0.0075511860777623604,0.0,1.0,5,0
xception,2024,097,Original,0,darkening_sev3,darkening,3,0.2512949306517839,0.2,0.8,5,0
xception,2024,097,Original,0,jpeg_sev3,jpeg,3,0.00075393826700744,0.0,1.0,5,0
xception,2024,097,Original,0,resize_sev3,resize,3,0.6427107334136963,0.6,0.4,5,0
xception,2024,097_033,Deepfakes,1,brightening_sev3,brightening,3,0.26146005541086187,0.2,0.2,5,0
xception,2024,097_033,Deepfakes,1,clean,clean,0,0.996635639667511,1.0,1.0,5,0
xception,2024,097_033,Deepfakes,1,darkening_sev3,darkening,3,0.9999799966812134,1.0,1.0,5,0
xception,2024,097_033,Deepfakes,1,jpeg_sev3,jpeg,3,0.00225324586499476,0.0,0.0,5,0
xception,2024,097_033,Deepfakes,1,resize_sev3,resize,3,0.8777272582054139,1.0,1.0,5,0
