n_total,n_valid,n_nonzero,mean_clean,mean_transformed,mean_diff,median_diff,w_stat,raw_p,r_rb,ci_lower,ci_upper,test_status,model,seed,transformation,metric,test_family,inference_unit,rho,adjusted_p
12.0,12,12.0,0.15851486946063556,0.13202777841479704,0.02648709104583848,0.019662743244683124,15.0,0.06396484375,0.6153846153846154,0.0013500865889960586,0.05417965753001561,tested,efficientnet_b0,2024,brightening_sev1,SO,family_1_localization,source_video,,0.09030330882352941
12.0,12,12.0,0.09154376257045016,0.07550801631763561,0.016035746252814554,0.01309543977171501,15.0,0.06396484375,0.6153846153846154,0.0009228881369024418,0.0314596814604539,tested,efficientnet_b0,2024,brightening_sev1,IoU,family_1_localization,source_video,,0.09030330882352941
12.0,12,12.0,0.14502032719936137,0.12019585638159362,0.02482447081776777,0.015043533405975258,17.0,0.09228515625,0.5641025641025641,0.0008644770775299851,0.0536996355657491,tested,efficientnet_b0,2024,brightening_sev1,saliency_mass,family_1_localization,source_video,,0.11972128378378379
12.0,12,12.0,0.18797535567510468,0.15142409607203977,0.036551259603064934,0.02796585222254927,15.0,0.06396484375,0.6153846153846154,-0.0013595997225110167,0.07551271414969385,tested,efficientnet_b0,2024,brightening_sev1,hit_rate,family_1_localization,source_video,,0.09030330882352941
12.0,12,12.0,0.17940592665562685,0.20977616262088986,-0.030370235965262986,-0.0006315046861450809,31.0,0.5693359375,-0.20512820512820512,-0.07924301962553497,0.016310291792674646,tested,efficientnet_b0,2024,brightening_sev1,faithfulness_blur,family_2_faithfulness,source_video,,0.81984375
12.0,12,12.0,0.3050455622949045,0.36871982674636755,-0.06367426445146308,-0.038777337816724114,25.0,0.30126953125,-0.358974358974359,-0.1688925580478181,0.020597527498262644,tested,efficientnet_b0,2024,brightening_sev1,faithfulness_zero,family_2_faithfulness,source_video,,0.7746930803571429
12.0,12,12.0,0.2989053639448131,0.349725771774337,-0.05082040782952394,-0.013193910696930579,31.0,0.5693359375,-0.20512820512820512,-0.15652007694393863,0.039640982089045124,tested,efficientnet_b0,2024,brightening_sev1,faithfulness_mean,family_2_faithfulness,source_video,,0.81984375
12.0,0,0.0,,,,,,,,,,not_tested_small_n,efficientnet_b0,2024,brightening_sev1,ES_cos,family_3_stability,source_video,,
12.0,0,0.0,,,,,,,,,,not_tested_small_n,efficientnet_b0,2024,brightening_sev1,explanation_IoU,family_3_stability,source_video,,
,12,,,,,,,0.011760970883598036,,,,tested,efficientnet_b0,2024,brightening_sev1,SO_vs_blur,family_4a_loc_faith,source_video,-0.6970238359966545,0.07829067315810942
,12,,,,,,,0.11210929146889187,,,,tested,efficientnet_b0,2024,brightening_sev1,SO_vs_zero,family_4a_loc_faith,source_video,-0.4825174825174825,0.14414051760286098
,12,,,,,,,0.02609689105270314,,,,tested,efficientnet_b0,2024,brightening_sev1,SO_vs_mean,family_4a_loc_faith,source_video,-0.6363636363636365,0.07829067315810942
,12,,,,,,,0.04573907441011205,,,,tested,efficientnet_b0,2024,brightening_sev1,IoU_vs_blur,family_4a_loc_faith,source_video,-0.5849396010625192,0.08226317966311186
,12,,,,,,,0.23562100351264567,,,,tested,efficientnet_b0,2024,brightening_sev1,IoU_vs_zero,family_4a_loc_faith,source_video,-0.3706293706293707,0.23562100351264567
,12,,,,,,,0.054842119775407906,,,,tested,efficientnet_b0,2024,brightening_sev1,IoU_vs_mean,family_4a_loc_faith,source_video,-0.5664335664335665,0.08226317966311186
,12,,,,,,,0.019892133524913678,,,,tested,efficientnet_b0,2024,brightening_sev1,SM_vs_blur,family_4a_loc_faith,source_video,-0.6584948802380455,0.07829067315810942
,12,,,,,,,0.16669998762494498,,,,tested,efficientnet_b0,2024,brightening_sev1,SM_vs_zero,family_4a_loc_faith,source_video,-0.4265734265734266,0.1875374860780631
,12,,,,,,,0.04785597684206058,,,,tested,efficientnet_b0,2024,brightening_sev1,SM_vs_mean,family_4a_loc_faith,source_video,-0.5804195804195805,0.08226317966311186
,12,,,,,,,0.11210929146889187,,,,tested,efficientnet_b0,2024,brightening_sev1,Dprob_vs_DSO,family_4b_det_exp_deg,source_video,0.4825174825174825,0.17937486635022698
,12,,,,,,,0.11210929146889187,,,,tested,efficientnet_b0,2024,brightening_sev1,Dprob_vs_DIoU,family_4b_det_exp_deg,source_video,0.4825174825174825,0.17937486635022698
,0,,,,,,,,,,,not_tested_small_n,efficientnet_b0,2024,brightening_sev1,Dprob_vs_Dstability,family_4b_det_exp_deg,source_video,,
12.0,12,12.0,0.15851486946063556,0.09707988860560661,0.06143498085502893,0.04229981573085367,6.0,0.0068359375,0.8461538461538461,0.026111092114458872,0.09883573077498047,tested,efficientnet_b0,2024,brightening_sev2,SO,family_1_localization,source_video,,0.012620192307692308
12.0,12,12.0,0.09154376257045016,0.05435322973160193,0.03719053283884823,0.02926493571818121,3.0,0.00244140625,0.9230769230769231,0.017920930257424604,0.05660724224812088,tested,efficientnet_b0,2024,brightening_sev2,IoU,family_1_localization,source_video,,0.006893382352941176
12.0,12,12.0,0.14502032719936137,0.09209461698693795,0.0529257102124234,0.030685611037636753,5.0,0.0048828125,0.8717948717948718,0.021327067721971713,0.08779128614376136,tested,efficientnet_b0,2024,brightening_sev2,saliency_mass,family_1_localization,source_video,,0.010190217391304348
12.0,12,12.0,0.18797535567510468,0.10861651708539481,0.07935883858970989,0.07043834472109031,3.0,0.00244140625,0.9230769230769231,0.03708306058303801,0.11849569798031452,tested,efficientnet_b0,2024,brightening_sev2,hit_rate,family_1_localization,source_video,,0.006893382352941176
12.0,12,12.0,0.17940592665562685,0.23465041082900337,-0.055244484173376546,-0.0019073836361068101,30.0,0.5185546875,-0.23076923076923078,-0.17048819381115027,0.04720318308184885,tested,efficientnet_b0,2024,brightening_sev2,faithfulness_blur,family_2_faithfulness,source_video,,0.81984375
12.0,12,12.0,0.3050455622949045,0.3824770670502735,-0.07743150475536908,-0.08839447162273775,28.0,0.423828125,-0.28205128205128205,-0.22101247593291623,0.048844003909324245,tested,efficientnet_b0,2024,brightening_sev2,faithfulness_zero,family_2_faithfulness,source_video,,0.81984375
12.0,12,12.0,0.2989053639448131,0.38757391708554684,-0.08866855314073373,-0.11942029852827132,26.0,0.33935546875,-0.3333333333333333,-0.2334899266939638,0.05274671311453938,tested,efficientnet_b0,2024,brightening_sev2,faithfulness_mean,family_2_faithfulness,source_video,,0.814453125
12.0,0,0.0,,,,,,,,,,not_tested_small_n,efficientnet_b0,2024,brightening_sev2,ES_cos,family_3_stability,source_video,,
