n_total,n_valid,n_nonzero,mean_clean,mean_transformed,mean_diff,median_diff,w_stat,raw_p,r_rb,ci_lower,ci_upper,test_status,model,seed,transformation,metric,test_family,inference_unit,rho,adjusted_p
12.0,12,12.0,0.25842921463769697,0.25358650728433124,0.004842707353365745,0.001735913536123082,31.0,0.5693359375,0.20512820512820512,-0.006278495071294098,0.01564406460183302,tested,resnet50,123,brightening_sev1,SO,family_1_localization,source_video,,0.6506696428571429
12.0,12,12.0,0.15568354182609964,0.15171708582015175,0.003966456005947877,0.0014759897192160032,28.0,0.423828125,0.28205128205128205,-0.00427213688898409,0.012282353826252342,tested,resnet50,123,brightening_sev1,IoU,family_1_localization,source_video,,0.50859375
12.0,12,12.0,0.25823693564992867,0.2573917777654865,0.0008451578844422084,-0.0011188845295954375,36.0,0.85009765625,0.07692307692307693,-0.007013502147046593,0.007489040236509257,tested,resnet50,123,brightening_sev1,saliency_mass,family_1_localization,source_video,,0.8870584239130435
12.0,12,12.0,0.3322296666895133,0.328623370063011,0.003606296626502331,0.0012697184136812867,32.0,0.6220703125,0.1794871794871795,-0.009197601876211868,0.0148942890640167,tested,resnet50,123,brightening_sev1,hit_rate,family_1_localization,source_video,,0.6944040697674418
12.0,12,12.0,0.04598088259290489,0.028792339377160765,0.017188543215744128,0.017950647792562634,14.0,0.05224609375,0.6410256410256411,0.0024117725905181595,0.03167226367152016,tested,resnet50,123,brightening_sev1,faithfulness_blur,family_2_faithfulness,source_video,,0.08177649456521739
12.0,12,12.0,0.6548642437097679,0.6541708903246305,0.0006933533851375175,0.015937630109891576,32.0,0.6220703125,0.1794871794871795,-0.03595099046978832,0.028771210971871585,tested,resnet50,123,brightening_sev1,faithfulness_zero,family_2_faithfulness,source_video,,0.6786221590909091
12.0,12,12.0,0.5330614808352593,0.6270726522801096,-0.09401117144485027,-0.10382374985052562,3.0,0.00244140625,-0.9230769230769231,-0.1257607769011451,-0.05907068422020072,tested,resnet50,123,brightening_sev1,faithfulness_mean,family_2_faithfulness,source_video,,0.00732421875
12.0,0,0.0,,,,,,,,,,not_tested_small_n,resnet50,123,brightening_sev1,ES_cos,family_3_stability,source_video,,
12.0,0,0.0,,,,,,,,,,not_tested_small_n,resnet50,123,brightening_sev1,explanation_IoU,family_3_stability,source_video,,
,12,,,,,,,0.5567370561768314,,,,tested,resnet50,123,brightening_sev1,SO_vs_blur,family_4a_loc_faith,source_video,-0.18881118881118883,0.9827917689028476
,12,,,,,,,0.5717012385276553,,,,tested,resnet50,123,brightening_sev1,SO_vs_zero,family_4a_loc_faith,source_video,0.18181818181818185,0.9827917689028476
,12,,,,,,,0.9484022252365222,,,,tested,resnet50,123,brightening_sev1,SO_vs_mean,family_4a_loc_faith,source_video,-0.02097902097902098,0.9827917689028476
,12,,,,,,,0.729194990751066,,,,tested,resnet50,123,brightening_sev1,IoU_vs_blur,family_4a_loc_faith,source_video,-0.11188811188811189,0.9827917689028476
,12,,,,,,,0.4844516614553987,,,,tested,resnet50,123,brightening_sev1,IoU_vs_zero,family_4a_loc_faith,source_video,0.22377622377622378,0.9827917689028476
,12,,,,,,,0.9827917689028476,,,,tested,resnet50,123,brightening_sev1,IoU_vs_mean,family_4a_loc_faith,source_video,0.006993006993006993,0.9827917689028476
,12,,,,,,,0.6330906812462617,,,,tested,resnet50,123,brightening_sev1,SM_vs_blur,family_4a_loc_faith,source_video,-0.15384615384615385,0.9827917689028476
,12,,,,,,,0.45680085263992326,,,,tested,resnet50,123,brightening_sev1,SM_vs_zero,family_4a_loc_faith,source_video,0.2377622377622378,0.9827917689028476
,12,,,,,,,0.8969858708195542,,,,tested,resnet50,123,brightening_sev1,SM_vs_mean,family_4a_loc_faith,source_video,0.04195804195804196,0.9827917689028476
,12,,,,,,,0.00025981184986148103,,,,tested,resnet50,123,brightening_sev1,Dprob_vs_DSO,family_4b_det_exp_deg,source_video,0.8671328671328673,0.0005196236997229621
,12,,,,,,,5.9978574465376914e-05,,,,tested,resnet50,123,brightening_sev1,Dprob_vs_DIoU,family_4b_det_exp_deg,source_video,0.9020979020979022,0.00023991429786150766
,0,,,,,,,,,,,not_tested_small_n,resnet50,123,brightening_sev1,Dprob_vs_Dstability,family_4b_det_exp_deg,source_video,,
12.0,12,12.0,0.25842921463769697,0.23244761694608693,0.02598159769161008,0.004397742675222818,27.0,0.38037109375,0.3076923076923077,-0.00605754853210038,0.06577634156587402,tested,resnet50,123,brightening_sev2,SO,family_1_localization,source_video,,0.46814903846153844
12.0,12,12.0,0.15568354182609964,0.1392840958796802,0.016399445946419455,0.0037920755828746294,26.0,0.33935546875,0.3333333333333333,-0.0039444310608246795,0.039669908690773484,tested,resnet50,123,brightening_sev2,IoU,family_1_localization,source_video,,0.42865953947368424
12.0,12,12.0,0.25823693564992867,0.23579061517979336,0.02244632047013534,0.0010020619633446803,30.0,0.5185546875,0.23076923076923078,-0.006561388845683663,0.05953828727253696,tested,resnet50,123,brightening_sev2,saliency_mass,family_1_localization,source_video,,0.6070884146341463
12.0,12,12.0,0.3322296666895133,0.2962129342814133,0.03601673240810002,0.005429952735987217,26.0,0.33935546875,0.3333333333333333,-0.010150512286383247,0.09571919980227471,tested,resnet50,123,brightening_sev2,hit_rate,family_1_localization,source_video,,0.42865953947368424
12.0,12,12.0,0.04598088259290489,-0.006788014857131028,0.05276889745003591,0.03064735496669183,11.0,0.02685546875,0.717948717948718,0.015223439733621582,0.0944992663481701,tested,resnet50,123,brightening_sev2,faithfulness_blur,family_2_faithfulness,source_video,,0.05088404605263158
12.0,12,12.0,0.6548642437097679,0.5631156894256164,0.09174855428415152,0.07578639509977309,13.0,0.04248046875,0.6666666666666666,0.007519346741423075,0.17809954536859296,tested,resnet50,123,brightening_sev2,faithfulness_zero,family_2_faithfulness,source_video,,0.06951349431818182
12.0,12,12.0,0.5330614808352593,0.5939215219031339,-0.0608600410678747,-0.10720304998106683,23.0,0.2333984375,-0.41025641025641024,-0.14657433841580855,0.024891949904775924,tested,resnet50,123,brightening_sev2,faithfulness_mean,family_2_faithfulness,source_video,,0.28973599137931033
12.0,0,0.0,,,,,,,,,,not_tested_small_n,resnet50,123,brightening_sev2,ES_cos,family_3_stability,source_video,,
12.0,0,0.0,,,,,,,,,,not_tested_small_n,resnet50,123,brightening_sev2,explanation_IoU,family_3_stability,source_video,,
,12,,,,,,,0.5567370561768314,,,,tested,resnet50,123,brightening_sev2,SO_vs_blur,family_4a_loc_faith,source_video,-0.18881118881118883,0.9827917689028476
,12,,,,,,,0.5717012385276553,,,,tested,resnet50,123,brightening_sev2,SO_vs_zero,family_4a_loc_faith,source_video,0.18181818181818185,0.9827917689028476
,12,,,,,,,0.9484022252365222,,,,tested,resnet50,123,brightening_sev2,SO_vs_mean,family_4a_loc_faith,source_video,-0.02097902097902098,0.9827917689028476
,12,,,,,,,0.729194990751066,,,,tested,resnet50,123,brightening_sev2,IoU_vs_blur,family_4a_loc_faith,source_video,-0.11188811188811189,0.9827917689028476
,12,,,,,,,0.4844516614553987,,,,tested,resnet50,123,brightening_sev2,IoU_vs_zero,family_4a_loc_faith,source_video,0.22377622377622378,0.9827917689028476
,12,,,,,,,0.9827917689028476,,,,tested,resnet50,123,brightening_sev2,IoU_vs_mean,family_4a_loc_faith,source_video,0.006993006993006993,0.9827917689028476
,12,,,,,,,0.6330906812462617,,,,tested,resnet50,123,brightening_sev2,SM_vs_blur,family_4a_loc_faith,source_video,-0.15384615384615385,0.9827917689028476
