model,seed,category,video_id,ground_truth,transformation,transformation_family,severity,prob_fake,pred_fake,correct,SO,SO@10,SO@20,SO@30,IoU,IoU@10,IoU@20,IoU@30,saliency_mass,hit_rate,saliency_entropy,faithfulness,faithfulness_blur,faithfulness_zero,faithfulness_mean,ES_cos,explanation_IoU,explanation_IoU@10,explanation_IoU@20,explanation_IoU@30,prediction_preserved,n_valid_frames,n_failed_frames
xception,2024,Deepfakes,033_097,1,brightening_sev1,brightening,1,0.5265288332986457,0.5270935960591133,0.5270935960591133,0.3192844015695077,0.372784948798609,0.3192844015695077,0.2655769564267741,0.25821294145136187,0.1752176268909654,0.25821294145136187,0.24471548310345234,0.34035343373934135,0.3842364532019704,12.258762369014947,-0.04366182426467829,-0.04366182426467829,0.4933079986543718,0.4793847411305511,0.8631723337330535,0.6226009960157225,0.5709059001101857,0.6226009960157225,0.6293082896177179,0.6699507389162561,203,0
xception,2024,Deepfakes,033_097,1,brightening_sev2,brightening,2,0.3404323027837388,0.33497536945812806,0.33497536945812806,0.20008145795525006,0.22505318597467322,0.20008145795525006,0.1862456062350183,0.15165283866605803,0.10156824334926555,0.15165283866605803,0.16233166024498732,0.2243718047964439,0.24630541871921183,12.577379400506983,-0.11319974084038359,-0.11319974084038359,0.31296977033770385,0.2978173530228456,0.7005602269068647,0.46206916945327825,0.398411790704524,0.46206916945327825,0.4927652227617529,0.47783251231527096,203,0
xception,2024,Deepfakes,033_097,1,brightening_sev3,brightening,3,0.2347905818040923,0.17733990147783252,0.17733990147783252,0.09949712412127186,0.11420467032466783,0.09949712412127186,0.09982859881043349,0.07725844862068199,0.0522673925969499,0.07725844862068199,0.08515346698686849,0.13973171414244112,0.11330049261083744,12.778147321616487,-0.16856708415420354,-0.16856708415420354,0.19930457930661805,0.18373461187504037,0.5789683330327579,0.3922012185359991,0.33369978928994914,0.3922012185359991,0.41207118102612966,0.32019704433497537,203,0
xception,2024,Deepfakes,033_097,1,clean,clean,0,0.8375171578759923,0.8571428571428571,0.8571428571428571,0.4009004470599434,0.4595700653465735,0.4009004470599434,0.3153241931905892,0.3356927272846043,0.21614322850084064,0.3356927272846043,0.2971781217452368,0.4159431264535326,0.47783251231527096,12.091917634597554,0.08151079751459397,0.08151079751459397,0.7590891606618279,0.7306182045751054,,,,,,,203,0
xception,2024,Deepfakes,033_097,1,darkening_sev1,darkening,1,0.8673860407136197,0.8866995073891626,0.8866995073891626,0.4014873617687823,0.46987425580774117,0.4014873617687823,0.31950500919941444,0.32892242107826164,0.21949253170326874,0.32892242107826164,0.2976900237697196,0.4142022010471907,0.49261083743842365,12.072949813504524,0.08203346818557075,0.08203346818557075,0.7875637373135177,0.7733820254611669,0.9839015843783311,0.8567158293086242,0.843059456321769,0.8567158293086242,0.861367378869165,0.9605911330049262,203,0
xception,2024,Deepfakes,033_097,1,darkening_sev2,darkening,2,0.926238909804175,0.9310344827586207,0.9310344827586207,0.4465882461321932,0.5163131020176689,0.4465882461321932,0.3581079706424721,0.3633642948455005,0.24051911462345746,0.3633642948455005,0.33511316082635023,0.4604627606105403,0.5517241379310345,11.877547860732808,0.04279801733057784,0.04279801733057784,0.8249443351670187,0.8218723705527029,0.9107655810197356,0.7138034900876287,0.6980980783497547,0.7138034900876287,0.7206409443934121,0.9261083743842364,203,0
xception,2024,Deepfakes,033_097,1,darkening_sev3,darkening,3,0.9835643533415395,0.9901477832512315,0.9901477832512315,0.4952498382689567,0.5884742713251714,0.4952498382689567,0.40413310796644203,0.3952026474152,0.2720614879436265,0.3952026474152,0.38095430756965937,0.5128647206960124,0.6403940886699507,11.632592102576947,0.03573863508335771,0.03573863508335771,0.8590094336134203,0.854179772695187,0.7706059534127497,0.5579934413786897,0.5529213866924678,0.5579934413786897,0.5594281089783919,0.8669950738916257,203,0
xception,2024,Deepfakes,033_097,1,jpeg_sev1,jpeg,1,0.5341452543837077,0.4975369458128079,0.4975369458128079,0.30611041636741065,0.34859541823258294,0.30611041636741065,0.24717494506980656,0.257266620364267,0.16570134896691804,0.257266620364267,0.23237834563334003,0.3291272126682674,0.3497536945812808,12.306229135673034,0.06716944985756917,0.06716944985756917,0.49566940881652105,0.474068076209652,0.8165986208674572,0.6292496950359749,0.6017582461236304,0.6292496950359749,0.6147485120976817,0.6403940886699507,203,0
xception,2024,Deepfakes,033_097,1,jpeg_sev2,jpeg,2,0.1515935929411829,0.11822660098522167,0.11822660098522167,0.05352016950186757,0.05988897546202545,0.05352016950186757,0.05482984034869484,0.037639449560258956,0.02542695730033354,0.037639449560258956,0.04375483601780367,0.08727414985830279,0.06403940886699508,12.820507509955045,0.04154907374150603,0.04154907374150603,0.14024842573972665,0.13808783458850746,0.4999203601691063,0.3338160932027584,0.28235219166311454,0.3338160932027584,0.35506845502389983,0.26108374384236455,203,0
xception,2024,Deepfakes,033_097,1,jpeg_sev3,jpeg,3,0.008474759224832595,0.0,0.0,0.0060554658953170136,0.0038493782080084625,0.0060554658953170136,0.009952982793098482,0.0029561713187354057,0.0012206206511162743,0.0029561713187354057,0.005911801640396391,0.03621356853801116,0.0,13.010152267117805,0.0043747359767231445,0.0043747359767231445,0.006499149248806348,0.006854485252154073,0.38537709096961753,0.17370258483307538,0.11690041014985732,0.17370258483307538,0.23459641380355606,0.14285714285714285,203,0
