holdout,model,n_seeds,accuracy_mean,accuracy_sd,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,roc_auc_mean,roc_auc_sd
Deepfakes,efficientnet_b0,3,0.7916666666666666,0.041666666666666685,0.8675213675213675,0.11912273388689189,0.7222222222222223,0.1924500897298753,0.7666666666666667,0.08819171036881973,0.8495370370370371,0.046238389711662504
Deepfakes,resnet50,3,0.7638888888888888,0.10485881160098265,0.8196969696969697,0.08135390156762906,0.6666666666666666,0.16666666666666669,0.7322793148880105,0.13485233051922915,0.8726851851851851,0.028065638085606817
Deepfakes,xception,3,0.75,0.07216878364870323,0.8925925925925927,0.11129614223197569,0.5833333333333334,0.16666666666666666,0.691027926322044,0.11689291771230688,0.9027777777777778,0.04861111111111117
Face2Face,efficientnet_b0,3,0.5555555555555556,0.048112522432468836,0.7000000000000001,0.2645751311064591,0.3611111111111111,0.17347216662217774,0.42857142857142855,0.1318037865596392,0.7129629629629631,0.03425613098830728
Face2Face,resnet50,3,0.7916666666666666,0.041666666666666685,0.8227272727272728,0.07510323473571959,0.75,0.0,0.7835968379446641,0.03410164807655615,0.8981481481481483,0.05613127617121358
Face2Face,xception,3,0.8055555555555555,0.024056261216234453,0.9023569023569024,0.09165425985734812,0.6944444444444443,0.048112522432468836,0.781504485852312,0.019071608501770507,0.875,0.013888888888888895
FaceSwap,efficientnet_b0,3,0.47222222222222215,0.024056261216234418,0.43333333333333335,0.05773502691896256,0.19444444444444442,0.04811252243246882,0.2679738562091503,0.05660296756761036,0.5208333333333334,0.025038550524055455
FaceSwap,resnet50,3,0.5138888888888888,0.024056261216234387,0.6666666666666666,0.28867513459481287,0.08333333333333333,0.0,0.14652014652014653,0.0063445084526332594,0.4837962962962963,0.010607814108694042
FaceSwap,xception,3,0.5277777777777778,0.024056261216234387,0.5555555555555555,0.5091750772173156,0.08333333333333333,0.08333333333333333,0.14017094017094017,0.1338582697466796,0.42824074074074076,0.05613127617121361
NeuralTextures,efficientnet_b0,3,0.5972222222222223,0.024056261216234387,0.8214285714285715,0.15567496226930977,0.2777777777777778,0.1272937693043289,0.3956766917293233,0.12162612831325784,0.6435185185185186,0.03948778266025919
NeuralTextures,resnet50,3,0.5416666666666666,0.041666666666666685,0.7222222222222222,0.2545875386086578,0.13888888888888887,0.048112522432468816,0.23174603174603173,0.0775669315737817,0.587962962962963,0.03948778266025919
NeuralTextures,xception,3,0.5277777777777778,0.048112522432468836,0.6666666666666666,0.28867513459481287,0.13888888888888887,0.048112522432468816,0.2261904761904762,0.07434521426664759,0.5740740740740741,0.0622422669432812
