holdout,model,seed,run_folder,accuracy,precision,recall,f1,roc_auc
Deepfakes,efficientnet_b0,42,holdout_Deepfakes_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_12-46-36_seed42,0.75,1.0,0.5,0.6666666666666666,0.861111111111111
Deepfakes,efficientnet_b0,123,holdout_Deepfakes_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_13-16-48_seed123,0.7916666666666666,0.7692307692307693,0.8333333333333334,0.8,0.798611111111111
Deepfakes,efficientnet_b0,2024,holdout_Deepfakes_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_13-32-21_seed2024,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.888888888888889
Deepfakes,resnet50,42,holdout_Deepfakes_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_13-56-12_seed42,0.6666666666666666,0.75,0.5,0.6,0.8472222222222222
Deepfakes,resnet50,123,holdout_Deepfakes_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_14-22-55_seed123,0.75,0.8,0.6666666666666666,0.7272727272727273,0.8680555555555556
Deepfakes,resnet50,2024,holdout_Deepfakes_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_14-42-56_seed2024,0.875,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9027777777777778
Deepfakes,xception,42,holdout_Deepfakes_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_22-28-18_seed42,0.8333333333333334,0.9,0.75,0.8181818181818182,0.8819444444444444
Deepfakes,xception,123,holdout_Deepfakes_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_23-40-32_seed123,0.7083333333333334,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.8680555555555555
Deepfakes,xception,2024,holdout_Deepfakes_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_11-05-26_seed2024,0.7083333333333334,1.0,0.4166666666666667,0.5882352941176471,0.9583333333333334
Face2Face,efficientnet_b0,42,holdout_Face2Face_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_15-09-34_seed42,0.5833333333333334,0.6,0.5,0.5454545454545454,0.7361111111111112
Face2Face,efficientnet_b0,123,holdout_Face2Face_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_15-39-43_seed123,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,0.6736111111111112
Face2Face,efficientnet_b0,2024,holdout_Face2Face_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_16-15-51_seed2024,0.5,0.5,0.4166666666666667,0.45454545454545453,0.7291666666666667
Face2Face,resnet50,42,holdout_Face2Face_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_16-35-24_seed42,0.8333333333333334,0.9,0.75,0.8181818181818182,0.9305555555555555
Face2Face,resnet50,123,holdout_Face2Face_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_16-55-19_seed123,0.7916666666666666,0.8181818181818182,0.75,0.782608695652174,0.9305555555555556
Face2Face,resnet50,2024,holdout_Face2Face_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_17-25-03_seed2024,0.75,0.75,0.75,0.75,0.8333333333333334
Face2Face,xception,42,holdout_Face2Face_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_01-18-45_seed42,0.7916666666666666,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.8611111111111112
Face2Face,xception,123,holdout_Face2Face_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_02-17-27_seed123,0.8333333333333334,1.0,0.6666666666666666,0.8,0.875
Face2Face,xception,2024,holdout_Face2Face_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_03-06-45_seed2024,0.7916666666666666,0.8181818181818182,0.75,0.782608695652174,0.888888888888889
FaceSwap,efficientnet_b0,42,holdout_FaceSwap_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_17-44-56_seed42,0.4583333333333333,0.4,0.16666666666666666,0.23529411764705882,0.4930555555555556
FaceSwap,efficientnet_b0,123,holdout_FaceSwap_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_18-05-32_seed123,0.5,0.5,0.25,0.3333333333333333,0.5277777777777778
FaceSwap,efficientnet_b0,2024,holdout_FaceSwap_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_18-19-27_seed2024,0.4583333333333333,0.4,0.16666666666666666,0.23529411764705882,0.5416666666666666
FaceSwap,resnet50,42,holdout_FaceSwap_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_18-37-41_seed42,0.5,0.5,0.08333333333333333,0.14285714285714285,0.4722222222222222
FaceSwap,resnet50,123,holdout_FaceSwap_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_18-58-41_seed123,0.5,0.5,0.08333333333333333,0.14285714285714285,0.49305555555555547
FaceSwap,resnet50,2024,holdout_FaceSwap_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_19-25-14_seed2024,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.4861111111111111
FaceSwap,xception,42,holdout_FaceSwap_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_03-54-10_seed42,0.5416666666666666,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.39583333333333337
FaceSwap,xception,123,holdout_FaceSwap_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_04-51-31_seed123,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,0.4930555555555556
FaceSwap,xception,2024,holdout_FaceSwap_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_06-12-02_seed2024,0.5,0.0,0.0,0.0,0.39583333333333337
NeuralTextures,efficientnet_b0,42,holdout_NeuralTextures_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_19-46-03_seed42,0.625,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.6875
NeuralTextures,efficientnet_b0,123,holdout_NeuralTextures_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_20-04-25_seed123,0.5833333333333334,0.75,0.25,0.375,0.6319444444444445
NeuralTextures,efficientnet_b0,2024,holdout_NeuralTextures_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_20-26-59_seed2024,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,0.6111111111111112
NeuralTextures,resnet50,42,holdout_NeuralTextures_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_20-58-14_seed42,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,0.576388888888889
NeuralTextures,resnet50,123,holdout_NeuralTextures_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_21-22-23_seed123,0.5416666666666666,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.6319444444444444
NeuralTextures,resnet50,2024,holdout_NeuralTextures_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_21-53-29_seed2024,0.5,0.5,0.08333333333333333,0.14285714285714285,0.5555555555555556
NeuralTextures,xception,42,holdout_NeuralTextures_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_07-10-08_seed42,0.5,0.5,0.16666666666666666,0.25,0.5347222222222222
NeuralTextures,xception,123,holdout_NeuralTextures_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_08-22-46_seed123,0.5,0.5,0.08333333333333333,0.14285714285714285,0.5416666666666667
NeuralTextures,xception,2024,holdout_NeuralTextures_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_09-51-24_seed2024,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,0.6458333333333333
