Transformation,Severity,Param,xception_SO,xception_ES_cos,efficientnet_b0_SO,efficientnet_b0_ES_cos,resnet50_SO,resnet50_ES_cos
clean,0,Ref,0.2948,,0.1585,,0.2584,
jpeg_sev1,1,Q=80,0.2662,0.8622,0.1241,0.722,0.242,0.9219
jpeg_sev2,2,Q=50,0.1751,0.5365,0.0754,0.4605,0.1591,0.5736
jpeg_sev3,3,Q=20,0.0883,0.1514,0.0571,0.3273,0.0627,0.1664
resize_sev1,1,s=0.75,0.3135,0.954,0.1758,0.895,0.2686,0.9712
resize_sev2,2,s=0.50,0.3033,0.9487,0.1725,0.8413,0.2703,0.9637
resize_sev3,3,s=0.25,0.2712,0.8415,0.1738,0.6744,0.2562,0.8931
darkening_sev1,1,a=0.80,0.2974,0.9927,0.1857,0.9227,0.2466,0.9329
darkening_sev2,2,a=0.60,0.3043,0.9754,0.1981,0.8148,0.2084,0.7972
darkening_sev3,3,a=0.40,0.316,0.9467,0.1823,0.6411,0.1671,0.6003
brightening_sev1,1,a=1.20,0.2849,0.9717,0.132,0.8513,0.2536,0.9735
brightening_sev2,2,a=1.40,0.2619,0.9209,0.0971,0.7264,0.2324,0.8999
brightening_sev3,3,a=1.60,0.2062,0.7822,0.0871,0.6211,0.1869,0.7818
