Model,Category,Frames,Accuracy,SO,IoU,Saliency Mass,Hit Rate
XCEPTION,Deepfakes,1348,92.66%,0.3899,0.2751,0.3868,41.99%
XCEPTION,Face2Face,1348,91.47%,0.3415,0.2204,0.3409,38.65%
XCEPTION,FaceSwap,1130,94.51%,0.173,0.109,0.169,15.66%
XCEPTION,NeuralTextures,1130,94.51%,0.2829,0.1779,0.2835,32.21%
EFFICIENTNET_B0,Deepfakes,1348,91.77%,0.218,0.1361,0.2,25.89%
EFFICIENTNET_B0,Face2Face,1348,88.28%,0.1991,0.1158,0.1815,23.44%
EFFICIENTNET_B0,FaceSwap,1130,91.42%,0.0838,0.0472,0.0778,10.53%
EFFICIENTNET_B0,NeuralTextures,1130,91.42%,0.1458,0.0806,0.1311,16.19%
RESNET50,Deepfakes,1348,91.17%,0.3359,0.2128,0.3384,46.81%
RESNET50,Face2Face,1348,91.99%,0.3135,0.1897,0.3155,41.77%
RESNET50,FaceSwap,1130,93.54%,0.1434,0.0848,0.1403,13.54%
RESNET50,NeuralTextures,1130,93.54%,0.2545,0.1502,0.2561,34.16%
