transformation,severity,direction,parameter_name,parameter_value,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,delta_accuracy_mean,delta_accuracy_std,delta_f1_mean,delta_f1_std,delta_roc_auc_mean,delta_roc_auc_std
brightness_bright,1,brighter,factor,1.2,0.8981481481481483,0.06624577787617682,0.8902578580839451,0.07845826022284888,0.9699074074074073,0.028632677955678136,-0.027777777777777766,0.02946278254943947,-0.03309450613798438,0.036890627502094334,-0.0015432098765432,0.006748786915330191
brightness_bright,2,brighter,factor,1.4,0.8611111111111112,0.0721687836487032,0.8429031515988038,0.09226259964938155,0.9637345679012346,0.03139967584780216,-0.06481481481481478,0.030270131552365787,-0.08044921262312561,0.04466184654184646,-0.007716049382716022,0.01364563208628651
brightness_bright,3,brighter,factor,1.6,0.7731481481481483,0.04709951377170324,0.7138443256090315,0.08064860425613615,0.9552469135802468,0.031078059217818383,-0.15277777777777773,0.04166666666666663,-0.2095080386128979,0.06960083313195295,-0.016203703703703668,0.0211207032302021
brightness_dark,1,darker,factor,0.8,0.9120370370370371,0.048611111111111105,0.9095859213250517,0.05242196571110024,0.9621913580246912,0.021714887776960345,-0.013888888888888867,0.036084391824351594,-0.01376644289687768,0.04012287633873435,-0.009259259259259233,0.011516058299845078
brightness_dark,2,darker,factor,0.6,0.8842592592592592,0.04553776752987497,0.8847172580505914,0.05386633140567138,0.9429012345679012,0.01085744388848015,-0.04166666666666666,0.0658807845868412,-0.03863510617133801,0.07496246841231899,-0.02854938271604933,0.022081925958725553
brightness_dark,3,darker,factor,0.4,0.75,0.08068715304598785,0.7496268785010378,0.11959444525900136,0.894675925925926,0.04115718608031146,-0.1759259259259259,0.0800872402407694,-0.1737254857208915,0.1207928377611842,-0.07677469135802462,0.04481872448128069
jpeg,1,none,quality,80.0,0.8194444444444444,0.05511981898051231,0.7949651797477885,0.06987769150098652,0.9313271604938271,0.03810666118785732,-0.10648148148148145,0.0367465459870082,-0.12838718447414094,0.04546404967707696,-0.0401234567901234,0.02217273618132877
jpeg,2,none,quality,50.0,0.6342592592592592,0.04049272149198121,0.48749187784275505,0.07321212477184354,0.8217592592592592,0.05300117195303384,-0.2916666666666667,0.05103103630798287,-0.4358604863791744,0.07187056470229351,-0.14969135802469136,0.046599125322216196
jpeg,3,none,quality,20.0,0.5416666666666666,0.05103103630798291,0.17495590828924162,0.2124877210712611,0.7175925925925926,0.05522907541870439,-0.38425925925925924,0.09027777777777779,-0.7483964559326878,0.2517128649518603,-0.253858024691358,0.04352221221519257
resize,1,none,scale,0.75,0.8796296296296297,0.04861111111111112,0.8901401578413073,0.03988335032602357,0.9560185185185185,0.02799395051492554,-0.04629629629629628,0.06054026310473157,-0.03321220638062215,0.05629996408983496,-0.015432098765432077,0.020180087701577153
resize,2,none,scale,0.5,0.8657407407407408,0.04049272149198126,0.8796992407337235,0.03132791386146471,0.9467592592592593,0.027559909490256173,-0.06018518518518517,0.05933335934248286,-0.043653123488205936,0.055240653751480136,-0.024691358024691256,0.015571324128557506
resize,3,none,scale,0.25,0.8101851851851851,0.08362218457494651,0.8213508677759885,0.0793546818234047,0.8950617283950617,0.05084695054742774,-0.11574074074074073,0.06172357234246935,-0.10200149644594088,0.055059643095062234,-0.07638888888888884,0.030861786171234706
