model,seed,condition_id,transformation,severity,direction,parameter_name,parameter_value,accuracy,precision,recall,f1,roc_auc,delta_accuracy,delta_f1,delta_roc_auc
efficientnet_b0,2024,clean,clean,0,none,none,,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.951388888888889,0.0,0.0,0.0
efficientnet_b0,2024,jpeg_sev1_q80,jpeg,1,none,quality,80.0,0.7916666666666666,0.8181818181818182,0.75,0.782608695652174,0.875,-0.125,-0.13405797101449268,-0.07638888888888895
efficientnet_b0,2024,jpeg_sev2_q50,jpeg,2,none,quality,50.0,0.625,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.7708333333333333,-0.29166666666666663,-0.39035087719298245,-0.1805555555555557
efficientnet_b0,2024,jpeg_sev3_q20,jpeg,3,none,quality,20.0,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6458333333333334,-0.33333333333333326,-0.4722222222222222,-0.3055555555555556
efficientnet_b0,2024,resize_sev1_s75,resize,1,none,scale,0.75,0.875,0.8,1.0,0.8888888888888888,0.9652777777777778,-0.04166666666666663,-0.02777777777777779,0.01388888888888884
efficientnet_b0,2024,resize_sev2_s50,resize,2,none,scale,0.5,0.875,0.8,1.0,0.8888888888888888,0.9236111111111112,-0.04166666666666663,-0.02777777777777779,-0.02777777777777779
efficientnet_b0,2024,resize_sev3_s25,resize,3,none,scale,0.25,0.7083333333333334,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.8472222222222221,-0.20833333333333326,-0.17592592592592593,-0.10416666666666685
efficientnet_b0,2024,brightness_dark_sev1_f80,brightness_dark,1,darker,factor,0.8,0.9583333333333334,0.9230769230769231,1.0,0.96,0.9444444444444444,0.04166666666666674,0.043333333333333335,-0.006944444444444531
efficientnet_b0,2024,brightness_dark_sev2_f60,brightness_dark,2,darker,factor,0.6,0.875,0.8,1.0,0.8888888888888888,0.9375,-0.04166666666666663,-0.02777777777777779,-0.01388888888888895
efficientnet_b0,2024,brightness_dark_sev3_f40,brightness_dark,3,darker,factor,0.4,0.75,0.6875,0.9166666666666666,0.7857142857142857,0.8194444444444444,-0.16666666666666663,-0.13095238095238093,-0.13194444444444453
efficientnet_b0,2024,brightness_bright_sev1_f120,brightness_bright,1,brighter,factor,1.2,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.0,0.0,0.00694444444444442
efficientnet_b0,2024,brightness_bright_sev2_f140,brightness_bright,2,brighter,factor,1.4,0.875,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9444444444444444,-0.04166666666666663,-0.047101449275362306,-0.006944444444444531
efficientnet_b0,2024,brightness_bright_sev3_f160,brightness_bright,3,brighter,factor,1.6,0.75,0.875,0.5833333333333334,0.7,0.9513888888888888,-0.16666666666666663,-0.21666666666666667,-1.1102230246251565e-16
