transformation,severity,direction,parameter_name,parameter_value,seed,model_a,model_b,model_pair,paired_videos,disagreement_count,disagreement_rate
brightness_bright,1,brighter,factor,1.2,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,4,0.16666666666666666
brightness_bright,1,brighter,factor,1.2,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,2,0.08333333333333333
brightness_bright,1,brighter,factor,1.2,42,resnet50,xception,resnet50_vs_xception,24,2,0.08333333333333333
brightness_bright,1,brighter,factor,1.2,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,4,0.16666666666666666
brightness_bright,1,brighter,factor,1.2,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,5,0.20833333333333334
brightness_bright,1,brighter,factor,1.2,123,resnet50,xception,resnet50_vs_xception,24,1,0.041666666666666664
brightness_bright,1,brighter,factor,1.2,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,4,0.16666666666666666
brightness_bright,1,brighter,factor,1.2,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,3,0.125
brightness_bright,1,brighter,factor,1.2,2024,resnet50,xception,resnet50_vs_xception,24,1,0.041666666666666664
brightness_bright,2,brighter,factor,1.4,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,5,0.20833333333333334
brightness_bright,2,brighter,factor,1.4,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,3,0.125
brightness_bright,2,brighter,factor,1.4,42,resnet50,xception,resnet50_vs_xception,24,6,0.25
brightness_bright,2,brighter,factor,1.4,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,4,0.16666666666666666
brightness_bright,2,brighter,factor,1.4,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,4,0.16666666666666666
brightness_bright,2,brighter,factor,1.4,123,resnet50,xception,resnet50_vs_xception,24,2,0.08333333333333333
brightness_bright,2,brighter,factor,1.4,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,7,0.2916666666666667
brightness_bright,2,brighter,factor,1.4,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,4,0.16666666666666666
brightness_bright,2,brighter,factor,1.4,2024,resnet50,xception,resnet50_vs_xception,24,3,0.125
brightness_bright,3,brighter,factor,1.6,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,4,0.16666666666666666
brightness_bright,3,brighter,factor,1.6,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,2,0.08333333333333333
brightness_bright,3,brighter,factor,1.6,42,resnet50,xception,resnet50_vs_xception,24,6,0.25
brightness_bright,3,brighter,factor,1.6,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,2,0.08333333333333333
brightness_bright,3,brighter,factor,1.6,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,2,0.08333333333333333
brightness_bright,3,brighter,factor,1.6,123,resnet50,xception,resnet50_vs_xception,24,2,0.08333333333333333
brightness_bright,3,brighter,factor,1.6,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,5,0.20833333333333334
brightness_bright,3,brighter,factor,1.6,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,4,0.16666666666666666
brightness_bright,3,brighter,factor,1.6,2024,resnet50,xception,resnet50_vs_xception,24,5,0.20833333333333334
brightness_dark,1,darker,factor,0.8,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,2,0.08333333333333333
brightness_dark,1,darker,factor,0.8,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,1,0.041666666666666664
brightness_dark,1,darker,factor,0.8,42,resnet50,xception,resnet50_vs_xception,24,1,0.041666666666666664
brightness_dark,1,darker,factor,0.8,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,1,0.041666666666666664
brightness_dark,1,darker,factor,0.8,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,3,0.125
brightness_dark,1,darker,factor,0.8,123,resnet50,xception,resnet50_vs_xception,24,2,0.08333333333333333
brightness_dark,1,darker,factor,0.8,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,4,0.16666666666666666
brightness_dark,1,darker,factor,0.8,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,0,0.0
brightness_dark,1,darker,factor,0.8,2024,resnet50,xception,resnet50_vs_xception,24,4,0.16666666666666666
brightness_dark,2,darker,factor,0.6,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,4,0.16666666666666666
brightness_dark,2,darker,factor,0.6,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,0,0.0
brightness_dark,2,darker,factor,0.6,42,resnet50,xception,resnet50_vs_xception,24,4,0.16666666666666666
brightness_dark,2,darker,factor,0.6,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,3,0.125
brightness_dark,2,darker,factor,0.6,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,2,0.08333333333333333
brightness_dark,2,darker,factor,0.6,123,resnet50,xception,resnet50_vs_xception,24,5,0.20833333333333334
brightness_dark,2,darker,factor,0.6,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,7,0.2916666666666667
brightness_dark,2,darker,factor,0.6,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,1,0.041666666666666664
brightness_dark,2,darker,factor,0.6,2024,resnet50,xception,resnet50_vs_xception,24,6,0.25
brightness_dark,3,darker,factor,0.4,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,2,0.08333333333333333
brightness_dark,3,darker,factor,0.4,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,4,0.16666666666666666
brightness_dark,3,darker,factor,0.4,42,resnet50,xception,resnet50_vs_xception,24,6,0.25
brightness_dark,3,darker,factor,0.4,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,4,0.16666666666666666
brightness_dark,3,darker,factor,0.4,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,6,0.25
brightness_dark,3,darker,factor,0.4,123,resnet50,xception,resnet50_vs_xception,24,10,0.4166666666666667
brightness_dark,3,darker,factor,0.4,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,12,0.5
brightness_dark,3,darker,factor,0.4,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,2,0.08333333333333333
brightness_dark,3,darker,factor,0.4,2024,resnet50,xception,resnet50_vs_xception,24,12,0.5
jpeg,1,none,quality,80.0,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,1,0.041666666666666664
jpeg,1,none,quality,80.0,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,1,0.041666666666666664
jpeg,1,none,quality,80.0,42,resnet50,xception,resnet50_vs_xception,24,2,0.08333333333333333
jpeg,1,none,quality,80.0,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,4,0.16666666666666666
