transformation,severity,direction,parameter_name,parameter_value,model,seed,overall_mean_delta_p,overall_median_delta_p,overall_mean_abs_delta_p,real_mean_delta_p,real_median_delta_p,fake_mean_delta_p,fake_median_delta_p
brightness_bright,1,brighter,factor,1.2,efficientnet_b0,42,-0.04792771995222442,-0.02004805215351985,0.04792771995222442,-0.02485824868074979,-0.0075150123548333,-0.07099719122369905,-0.029532120374960613
brightness_bright,1,brighter,factor,1.2,efficientnet_b0,123,-0.05985234601854924,-0.015392984209130933,0.06431290443110453,-0.029276471340040213,-0.0006129895361440001,-0.09042822069705829,-0.03050990115764385
brightness_bright,1,brighter,factor,1.2,efficientnet_b0,2024,-0.0456444162203701,-0.01234995681370225,0.04764735510969669,-0.02630357718593102,-0.01234995681370225,-0.06498525525480918,-0.013909111884776615
brightness_bright,1,brighter,factor,1.2,resnet50,42,-0.05552245340701257,-0.04109250935949835,0.06125332552547003,-0.036754183478547975,-0.02999854784658425,-0.07429072333547716,-0.06548545342454576
brightness_bright,1,brighter,factor,1.2,resnet50,123,-0.006543289933498349,0.0005439390963764772,0.04028297152851033,-0.026133859127928327,0.00048449866170395,0.013047279260931632,0.0006127028770399612
brightness_bright,1,brighter,factor,1.2,resnet50,2024,-0.05080207864737455,-0.016256250506185843,0.05990715707421729,-0.019955760873868307,-0.0031845708120652526,-0.0816483964208808,-0.023481792505275212
brightness_bright,1,brighter,factor,1.2,xception,42,-0.05342443458825947,-0.018175788272066257,0.05342443458825947,-0.0180951822855363,-0.005194942240528647,-0.08875368689098263,-0.040639107895770944
brightness_bright,1,brighter,factor,1.2,xception,123,-0.032472571921601245,-0.00619174981949115,0.03532275726976309,-0.013590795195232134,-0.00619174981949115,-0.05135434864797036,-0.004482398842248936
brightness_bright,1,brighter,factor,1.2,xception,2024,-0.03394107539857009,-0.0069154576854299505,0.04206409843464851,-0.026480515840428195,-0.01008816471052635,-0.04140163495671199,-0.003710846674556678
brightness_bright,2,brighter,factor,1.4,efficientnet_b0,42,-0.09374727640543105,-0.022139654533861547,0.09411101165236146,-0.03678683084095662,-0.0096364769617053,-0.15070772196990548,-0.07470689039750827
brightness_bright,2,brighter,factor,1.4,efficientnet_b0,123,-0.08214002866512828,-0.013072675745217366,0.10980641918604944,-0.030878447531580408,-0.00021835091673890714,-0.13340160979867613,-0.0320504145015848
brightness_bright,2,brighter,factor,1.4,efficientnet_b0,2024,-0.08724369152162166,-0.03249748435339305,0.08761765901064096,-0.04732242129461279,-0.02248091348335146,-0.12716496174863054,-0.07888464715873383
brightness_bright,2,brighter,factor,1.4,resnet50,42,-0.12043953337100248,-0.05833619621275299,0.1303169484115853,-0.05405419325064648,-0.02821178911604935,-0.18682487349135843,-0.09474201291236506
brightness_bright,2,brighter,factor,1.4,resnet50,123,-0.047171933106060916,-0.012996892188888005,0.09536933051457537,-0.03703419780369665,-0.010234183950770298,-0.05730966840842519,-0.017670944874787986
brightness_bright,2,brighter,factor,1.4,resnet50,2024,-0.11449636671576136,-0.014906554268846031,0.12939146012126135,-0.037609262151739965,-0.0056073099749953,-0.1913834712797827,-0.11721473850004815
brightness_bright,2,brighter,factor,1.4,xception,42,-0.11682867644201879,-0.028915614099037514,0.11807634928563426,-0.052214735173558464,-0.0078146275009696,-0.18144261771047918,-0.06381330959177614
brightness_bright,2,brighter,factor,1.4,xception,123,-0.07792459976743815,-0.02229422038728915,0.08344041934884426,-0.029013889115829094,-0.01331039633964125,-0.12683531041904722,-0.07000299033352725
brightness_bright,2,brighter,factor,1.4,xception,2024,-0.06590598945035793,-0.009479282828181449,0.07425601889393658,-0.043499138224415784,-0.009479282828181449,-0.08831284067630008,-0.021135156041579894
brightness_bright,3,brighter,factor,1.6,efficientnet_b0,42,-0.17531931095735934,-0.026710787694275883,0.17544172748620604,-0.0523003947193341,-0.010275254251928049,-0.29833822719538455,-0.1690961195216621
brightness_bright,3,brighter,factor,1.6,efficientnet_b0,123,-0.09968559807490392,-0.026676492205379626,0.1446647060675977,-0.030697955083856563,-0.00186282266274915,-0.16867324106595127,-0.06439636791507582
brightness_bright,3,brighter,factor,1.6,efficientnet_b0,2024,-0.14076718014915568,-0.05204221522973354,0.14260193958394202,-0.0705668678097856,-0.031690142564450303,-0.21096749248852578,-0.09003281372619559
brightness_bright,3,brighter,factor,1.6,resnet50,42,-0.18380924776135962,-0.056265456652680304,0.18916513632555743,-0.06394465172450611,-0.030088372006686008,-0.3036738437982131,-0.1803811952744732
brightness_bright,3,brighter,factor,1.6,resnet50,123,-0.11657057224554929,-0.001744038606667243,0.157751103287035,-0.03852498405056551,-0.0013843997480452498,-0.194616160440533,-0.06267753991814373
brightness_bright,3,brighter,factor,1.6,resnet50,2024,-0.19245651959815588,-0.0629230610663628,0.19863114396877712,-0.03578332680355125,-0.0015880842734215354,-0.3491297123927605,-0.2677107438055948
brightness_bright,3,brighter,factor,1.6,xception,42,-0.17149257243619154,-0.04247566462413688,0.1862396404483597,-0.056125720499312644,-0.00656138544812135,-0.28685942437307044,-0.2816953855438445
brightness_bright,3,brighter,factor,1.6,xception,123,-0.15930574956252863,-0.035862300256104304,0.1595409014762582,-0.0441329173172599,-0.01204148800717555,-0.2744785818077974,-0.18250335863056244
brightness_bright,3,brighter,factor,1.6,xception,2024,-0.1498021188614714,-0.028018184993170048,0.15093849236480872,-0.0622216893161782,-0.011537969297530598,-0.23738254840676465,-0.16468237655829504
brightness_dark,1,darker,factor,0.8,efficientnet_b0,42,0.03711365223494171,0.021253536172123944,0.0371991065508128,0.04800839308389463,0.03773796576643995,0.026218911385988784,0.013786789566077762
brightness_dark,1,darker,factor,0.8,efficientnet_b0,123,0.022553125570969806,0.002895115647328442,0.03225851130547741,0.004913133532830872,0.00175471000380475,0.04019311760910874,0.0031492324590189913
brightness_dark,1,darker,factor,0.8,efficientnet_b0,2024,0.022433412973728802,0.003177166535034329,0.028826112628952003,0.03136891216401489,0.01575033025367998,0.013497913783442709,0.0010332028194600107
brightness_dark,1,darker,factor,0.8,resnet50,42,0.022883301905177882,0.005723846678492184,0.03684313571959844,0.04056182051814262,0.01645335058693815,0.005204783292213133,0.0015253169462423055
brightness_dark,1,darker,factor,0.8,resnet50,123,-0.05569855897611892,-0.02225657449256707,0.06282957852102057,-0.024492830500722314,-0.0006044902983139502,-0.08690428745151553,-0.03419889077682842
