transformation,severity,direction,parameter_name,parameter_value,model,seed,total_evals,stable_correct,robustness_failure,transformation_correction,persistent_error,robustness_failure_rate,correction_rate
brightness_bright,1,brighter,factor,1.2,efficientnet_b0,42,24,19,2,0,3,0.08333333333333333,0.0
brightness_bright,1,brighter,factor,1.2,efficientnet_b0,123,24,19,1,0,4,0.041666666666666664,0.0
brightness_bright,1,brighter,factor,1.2,efficientnet_b0,2024,24,22,0,0,2,0.0,0.0
brightness_bright,1,brighter,factor,1.2,resnet50,42,24,23,0,0,1,0.0,0.0
brightness_bright,1,brighter,factor,1.2,resnet50,123,24,23,0,0,1,0.0,0.0
brightness_bright,1,brighter,factor,1.2,resnet50,2024,24,21,1,1,1,0.041666666666666664,0.041666666666666664
brightness_bright,1,brighter,factor,1.2,xception,42,24,21,1,0,2,0.041666666666666664,0.0
brightness_bright,1,brighter,factor,1.2,xception,123,24,22,1,0,1,0.041666666666666664,0.0
brightness_bright,1,brighter,factor,1.2,xception,2024,24,23,1,0,0,0.041666666666666664,0.0
brightness_bright,2,brighter,factor,1.4,efficientnet_b0,42,24,18,3,0,3,0.125,0.0
brightness_bright,2,brighter,factor,1.4,efficientnet_b0,123,24,17,3,1,3,0.125,0.041666666666666664
brightness_bright,2,brighter,factor,1.4,efficientnet_b0,2024,24,21,1,0,2,0.041666666666666664,0.0
brightness_bright,2,brighter,factor,1.4,resnet50,42,24,21,2,0,1,0.08333333333333333,0.0
brightness_bright,2,brighter,factor,1.4,resnet50,123,24,22,1,0,1,0.041666666666666664,0.0
brightness_bright,2,brighter,factor,1.4,resnet50,2024,24,19,3,1,1,0.125,0.041666666666666664
brightness_bright,2,brighter,factor,1.4,xception,42,24,20,2,1,1,0.08333333333333333,0.041666666666666664
brightness_bright,2,brighter,factor,1.4,xception,123,24,22,1,0,1,0.041666666666666664,0.0
brightness_bright,2,brighter,factor,1.4,xception,2024,24,23,1,0,0,0.041666666666666664,0.0
brightness_bright,3,brighter,factor,1.6,efficientnet_b0,42,24,17,4,1,2,0.16666666666666666,0.041666666666666664
brightness_bright,3,brighter,factor,1.6,efficientnet_b0,123,24,17,3,1,3,0.125,0.041666666666666664
brightness_bright,3,brighter,factor,1.6,efficientnet_b0,2024,24,18,4,0,2,0.16666666666666666,0.0
brightness_bright,3,brighter,factor,1.6,resnet50,42,24,17,6,1,0,0.25,0.041666666666666664
brightness_bright,3,brighter,factor,1.6,resnet50,123,24,20,3,0,1,0.125,0.0
brightness_bright,3,brighter,factor,1.6,resnet50,2024,24,17,5,0,2,0.20833333333333334,0.0
brightness_bright,3,brighter,factor,1.6,xception,42,24,17,5,1,1,0.20833333333333334,0.041666666666666664
brightness_bright,3,brighter,factor,1.6,xception,123,24,20,3,0,1,0.125,0.0
brightness_bright,3,brighter,factor,1.6,xception,2024,24,20,4,0,0,0.16666666666666666,0.0
brightness_dark,1,darker,factor,0.8,efficientnet_b0,42,24,21,0,0,3,0.0,0.0
brightness_dark,1,darker,factor,0.8,efficientnet_b0,123,24,19,1,1,3,0.041666666666666664,0.041666666666666664
brightness_dark,1,darker,factor,0.8,efficientnet_b0,2024,24,22,0,1,1,0.0,0.041666666666666664
brightness_dark,1,darker,factor,0.8,resnet50,42,24,23,0,0,1,0.0,0.0
brightness_dark,1,darker,factor,0.8,resnet50,123,24,21,2,0,1,0.08333333333333333,0.0
brightness_dark,1,darker,factor,0.8,resnet50,2024,24,21,1,0,2,0.041666666666666664,0.0
brightness_dark,1,darker,factor,0.8,xception,42,24,22,0,0,2,0.0,0.0
brightness_dark,1,darker,factor,0.8,xception,123,24,23,0,0,1,0.0,0.0
brightness_dark,1,darker,factor,0.8,xception,2024,24,23,1,0,0,0.041666666666666664,0.0
