transformation,severity,direction,parameter_name,parameter_value,seed,total_videos,models_failed_0,models_failed_1,models_failed_2,models_failed_3
brightness_bright,1,brighter,factor,1.2,42,24,22,1,1,0
brightness_bright,1,brighter,factor,1.2,123,24,22,2,0,0
brightness_bright,1,brighter,factor,1.2,2024,24,23,0,1,0
brightness_bright,2,brighter,factor,1.4,42,24,20,1,3,0
brightness_bright,2,brighter,factor,1.4,123,24,21,1,2,0
brightness_bright,2,brighter,factor,1.4,2024,24,20,3,1,0
brightness_bright,3,brighter,factor,1.6,42,24,16,3,3,2
brightness_bright,3,brighter,factor,1.6,123,24,20,1,1,2
brightness_bright,3,brighter,factor,1.6,2024,24,16,5,1,2
brightness_dark,1,darker,factor,0.8,42,24,24,0,0,0
brightness_dark,1,darker,factor,0.8,123,24,21,3,0,0
brightness_dark,1,darker,factor,0.8,2024,24,22,2,0,0
brightness_dark,2,darker,factor,0.6,42,24,20,3,1,0
brightness_dark,2,darker,factor,0.6,123,24,20,3,1,0
brightness_dark,2,darker,factor,0.6,2024,24,19,4,1,0
brightness_dark,3,darker,factor,0.4,42,24,15,3,3,3
brightness_dark,3,darker,factor,0.4,123,24,15,7,2,0
brightness_dark,3,darker,factor,0.4,2024,24,13,7,4,0
jpeg,1,none,quality,80.0,42,24,19,2,2,1
jpeg,1,none,quality,80.0,123,24,20,2,2,0
jpeg,1,none,quality,80.0,2024,24,19,2,3,0
jpeg,2,none,quality,50.0,42,24,15,2,3,4
jpeg,2,none,quality,50.0,123,24,14,2,4,4
jpeg,2,none,quality,50.0,2024,24,14,4,1,5
jpeg,3,none,quality,20.0,42,24,12,1,4,7
jpeg,3,none,quality,20.0,123,24,11,3,5,5
jpeg,3,none,quality,20.0,2024,24,11,2,5,6
resize,1,none,scale,0.75,42,24,22,0,1,1
resize,1,none,scale,0.75,123,24,20,3,0,1
resize,1,none,scale,0.75,2024,24,22,1,0,1
resize,2,none,scale,0.5,42,24,20,3,0,1
resize,2,none,scale,0.5,123,24,19,4,0,1
resize,2,none,scale,0.5,2024,24,20,3,0,1
resize,3,none,scale,0.25,42,24,20,2,1,1
resize,3,none,scale,0.25,123,24,17,4,3,0
resize,3,none,scale,0.25,2024,24,16,7,1,0
