transformation,severity,direction,parameter_name,parameter_value,seed,model_a,model_b,model_pair,fail_a_count,fail_b_count,intersection,union,jaccard_overlap
brightness_bright,1,brighter,factor,1.2,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,2,0,0,2,0.0
brightness_bright,1,brighter,factor,1.2,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,2,1,1,2,0.5
brightness_bright,1,brighter,factor,1.2,42,resnet50,xception,resnet50_vs_xception,0,1,0,1,0.0
brightness_bright,1,brighter,factor,1.2,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,1,0,0,1,0.0
brightness_bright,1,brighter,factor,1.2,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,1,1,0,2,0.0
brightness_bright,1,brighter,factor,1.2,123,resnet50,xception,resnet50_vs_xception,0,1,0,1,0.0
brightness_bright,1,brighter,factor,1.2,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,0,1,0,1,0.0
brightness_bright,1,brighter,factor,1.2,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,0,1,0,1,0.0
brightness_bright,1,brighter,factor,1.2,2024,resnet50,xception,resnet50_vs_xception,1,1,1,1,1.0
brightness_bright,2,brighter,factor,1.4,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,3,2,1,4,0.25
brightness_bright,2,brighter,factor,1.4,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,3,2,2,3,0.6666666666666666
brightness_bright,2,brighter,factor,1.4,42,resnet50,xception,resnet50_vs_xception,2,2,0,4,0.0
brightness_bright,2,brighter,factor,1.4,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,3,1,1,3,0.3333333333333333
brightness_bright,2,brighter,factor,1.4,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,3,1,1,3,0.3333333333333333
brightness_bright,2,brighter,factor,1.4,123,resnet50,xception,resnet50_vs_xception,1,1,0,2,0.0
brightness_bright,2,brighter,factor,1.4,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,1,3,0,4,0.0
brightness_bright,2,brighter,factor,1.4,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,1,1,0,2,0.0
brightness_bright,2,brighter,factor,1.4,2024,resnet50,xception,resnet50_vs_xception,3,1,1,3,0.3333333333333333
brightness_bright,3,brighter,factor,1.6,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,4,6,3,7,0.42857142857142855
brightness_bright,3,brighter,factor,1.6,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,4,5,3,6,0.5
brightness_bright,3,brighter,factor,1.6,42,resnet50,xception,resnet50_vs_xception,6,5,3,8,0.375
brightness_bright,3,brighter,factor,1.6,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,3,3,3,3,1.0
brightness_bright,3,brighter,factor,1.6,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,3,3,2,4,0.5
brightness_bright,3,brighter,factor,1.6,123,resnet50,xception,resnet50_vs_xception,3,3,2,4,0.5
brightness_bright,3,brighter,factor,1.6,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,4,5,3,6,0.5
brightness_bright,3,brighter,factor,1.6,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,4,4,2,6,0.3333333333333333
brightness_bright,3,brighter,factor,1.6,2024,resnet50,xception,resnet50_vs_xception,5,4,2,7,0.2857142857142857
brightness_dark,1,darker,factor,0.8,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,0,0,0,0,1.0
brightness_dark,1,darker,factor,0.8,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,0,0,0,0,1.0
brightness_dark,1,darker,factor,0.8,42,resnet50,xception,resnet50_vs_xception,0,0,0,0,1.0
brightness_dark,1,darker,factor,0.8,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,1,2,0,3,0.0
brightness_dark,1,darker,factor,0.8,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,1,0,0,1,0.0
brightness_dark,1,darker,factor,0.8,123,resnet50,xception,resnet50_vs_xception,2,0,0,2,0.0
brightness_dark,1,darker,factor,0.8,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,0,1,0,1,0.0
brightness_dark,1,darker,factor,0.8,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,0,1,0,1,0.0
brightness_dark,1,darker,factor,0.8,2024,resnet50,xception,resnet50_vs_xception,1,1,0,2,0.0
brightness_dark,2,darker,factor,0.6,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,1,3,0,4,0.0
brightness_dark,2,darker,factor,0.6,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,1,1,1,1,1.0
brightness_dark,2,darker,factor,0.6,42,resnet50,xception,resnet50_vs_xception,3,1,0,4,0.0
brightness_dark,2,darker,factor,0.6,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,1,4,1,4,0.25
brightness_dark,2,darker,factor,0.6,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,1,0,0,1,0.0
brightness_dark,2,darker,factor,0.6,123,resnet50,xception,resnet50_vs_xception,4,0,0,4,0.0
brightness_dark,2,darker,factor,0.6,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,2,2,0,4,0.0
brightness_dark,2,darker,factor,0.6,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,2,2,1,3,0.3333333333333333
brightness_dark,2,darker,factor,0.6,2024,resnet50,xception,resnet50_vs_xception,2,2,0,4,0.0
brightness_dark,3,darker,factor,0.4,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,6,4,4,6,0.6666666666666666
brightness_dark,3,darker,factor,0.4,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,6,8,5,9,0.5555555555555556
brightness_dark,3,darker,factor,0.4,42,resnet50,xception,resnet50_vs_xception,4,8,3,9,0.3333333333333333
brightness_dark,3,darker,factor,0.4,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,2,7,2,7,0.2857142857142857
brightness_dark,3,darker,factor,0.4,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,2,2,0,4,0.0
brightness_dark,3,darker,factor,0.4,123,resnet50,xception,resnet50_vs_xception,7,2,0,9,0.0
brightness_dark,3,darker,factor,0.4,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,5,6,1,10,0.1
brightness_dark,3,darker,factor,0.4,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,5,4,3,6,0.5
brightness_dark,3,darker,factor,0.4,2024,resnet50,xception,resnet50_vs_xception,6,4,0,10,0.0
jpeg,1,none,quality,80.0,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,2,3,1,4,0.25
jpeg,1,none,quality,80.0,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,2,4,2,4,0.5
jpeg,1,none,quality,80.0,42,resnet50,xception,resnet50_vs_xception,3,4,2,5,0.4
jpeg,1,none,quality,80.0,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,2,1,0,3,0.0
jpeg,1,none,quality,80.0,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,2,3,1,4,0.25
jpeg,1,none,quality,80.0,123,resnet50,xception,resnet50_vs_xception,1,3,1,3,0.3333333333333333
jpeg,1,none,quality,80.0,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,3,2,1,4,0.25
jpeg,1,none,quality,80.0,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,3,3,1,5,0.2
jpeg,1,none,quality,80.0,2024,resnet50,xception,resnet50_vs_xception,2,3,1,4,0.25
jpeg,2,none,quality,50.0,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,5,7,4,8,0.5
jpeg,2,none,quality,50.0,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,5,8,5,8,0.625
jpeg,2,none,quality,50.0,42,resnet50,xception,resnet50_vs_xception,7,8,6,9,0.6666666666666666
jpeg,2,none,quality,50.0,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,6,9,5,10,0.5
jpeg,2,none,quality,50.0,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,6,7,4,9,0.4444444444444444
jpeg,2,none,quality,50.0,123,resnet50,xception,resnet50_vs_xception,9,7,7,9,0.7777777777777778
jpeg,2,none,quality,50.0,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,7,6,5,8,0.625
jpeg,2,none,quality,50.0,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,7,8,6,9,0.6666666666666666
jpeg,2,none,quality,50.0,2024,resnet50,xception,resnet50_vs_xception,6,8,5,9,0.5555555555555556
jpeg,3,none,quality,20.0,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,7,12,7,12,0.5833333333333334
jpeg,3,none,quality,20.0,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,7,11,7,11,0.6363636363636364
jpeg,3,none,quality,20.0,42,resnet50,xception,resnet50_vs_xception,12,11,11,12,0.9166666666666666
jpeg,3,none,quality,20.0,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,6,12,5,13,0.38461538461538464
