model,seed,condition_id,transformation,severity,direction,parameter_name,parameter_value,accuracy,precision,recall,f1,roc_auc,delta_accuracy,delta_f1,delta_roc_auc
xception,2024,clean,clean,0,none,none,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
xception,2024,jpeg_sev1_q80,jpeg,1,none,quality,80.0,0.875,1.0,0.75,0.8571428571428571,0.9722222222222223,-0.125,-0.1428571428571429,-0.02777777777777768
xception,2024,jpeg_sev2_q50,jpeg,2,none,quality,50.0,0.6666666666666666,1.0,0.3333333333333333,0.5,0.9027777777777777,-0.33333333333333337,-0.5,-0.09722222222222232
xception,2024,jpeg_sev3_q20,jpeg,3,none,quality,20.0,0.5,0.0,0.0,0.0,0.798611111111111,-0.5,-1.0,-0.20138888888888895
xception,2024,resize_sev1_s75,resize,1,none,scale,0.75,0.9583333333333334,0.9230769230769231,1.0,0.96,1.0,-0.04166666666666663,-0.040000000000000036,0.0
xception,2024,resize_sev2_s50,resize,2,none,scale,0.5,0.875,0.8,1.0,0.8888888888888888,1.0,-0.125,-0.11111111111111116,0.0
xception,2024,resize_sev3_s25,resize,3,none,scale,0.25,0.875,0.8461538461538461,0.9166666666666666,0.88,0.9305555555555555,-0.125,-0.12,-0.06944444444444453
xception,2024,brightness_dark_sev1_f80,brightness_dark,1,darker,factor,0.8,0.9583333333333334,0.9230769230769231,1.0,0.96,0.9930555555555555,-0.04166666666666663,-0.040000000000000036,-0.006944444444444531
xception,2024,brightness_dark_sev2_f60,brightness_dark,2,darker,factor,0.6,0.9166666666666666,0.8571428571428571,1.0,0.9230769230769231,0.9652777777777778,-0.08333333333333337,-0.07692307692307687,-0.03472222222222221
xception,2024,brightness_dark_sev3_f40,brightness_dark,3,darker,factor,0.4,0.8333333333333334,0.75,1.0,0.8571428571428571,0.9305555555555556,-0.16666666666666663,-0.1428571428571429,-0.06944444444444442
xception,2024,brightness_bright_sev1_f120,brightness_bright,1,brighter,factor,1.2,0.9583333333333334,1.0,0.9166666666666666,0.9565217391304348,1.0,-0.04166666666666663,-0.04347826086956519,0.0
xception,2024,brightness_bright_sev2_f140,brightness_bright,2,brighter,factor,1.4,0.9583333333333334,1.0,0.9166666666666666,0.9565217391304348,0.9930555555555555,-0.04166666666666663,-0.04347826086956519,-0.006944444444444531
xception,2024,brightness_bright_sev3_f160,brightness_bright,3,brighter,factor,1.6,0.8333333333333334,1.0,0.6666666666666666,0.8,1.0,-0.16666666666666663,-0.19999999999999996,0.0
